ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
12,2006,2006-09-17,2,23.208,CLE,@,CIN,L 17-34,*,9,4,110,27.50,0,44.4%,12.22,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
13,2006,2006-09-24,3,23.215,CLE,,BAL,L 14-15,*,10,5,116,23.20,1,50.0%,11.60,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
14,2006,2006-10-01,4,23.222,CLE,@,OAK,W 24-21,*,8,6,75,12.50,0,75.0%,9.38,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
15,2006,2006-10-08,5,23.229,CLE,@,CAR,L 12-20,*,11,3,27,9.00,0,27.3%,2.45,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
16,2006,2006-10-22,6,23.243,CLE,,DEN,L 7-17,*,7,2,6,3.00,0,28.6%,0.86,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
17,2006,2006-10-29,7,23.250,CLE,,NYJ,W 20-13,*,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
18,2006,2006-11-05,8,23.257,CLE,@,SDG,L 25-32,*,12,7,66,9.43,1,58.3%,5.50,1,8,8.00,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
19,2006,2006-11-12,9,23.264,CLE,@,ATL,W 17-13,*,5,3,31,10.33,1,60.0%,6.20,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
20,2006,2006-11-19,10,23.271,CLE,,PIT,L 20-24,*,10,7,137,19.57,0,70.0%,13.70,1,-8,-8.00,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
21,2006,2006-11-26,11,23.278,CLE,,CIN,L 0-30,*,4,2,29,14.50,0,50.0%,7.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
22,2006,2006-12-03,12,23.285,CLE,,KAN,W 31-28,*,6,3,36,12.00,1,50.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
23,2006,2006-12-07,13,23.289,CLE,@,PIT,L 7-27,*,7,4,86,21.50,1,57.1%,12.29,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
24,2006,2006-12-17,14,23.299,CLE,@,BAL,L 17-27,*,9,5,68,13.60,1,55.6%,7.56,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
25,2006,2006-12-24,15,23.306,CLE,,TAM,L 7-22,,7,2,7,3.50,0,28.6%,1.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
26,2006,2006-12-31,16,23.313,CLE,@,HOU,L 6-14,*,10,4,46,11.50,0,40.0%,4.60,1,7,7.00,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
27,2007,2007-09-09,1,24.200,CLE,,PIT,L 7-34,*,9,3,49,16.33,0,33.3%,5.44,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
28,2007,2007-09-16,2,24.207,CLE,,CIN,W 51-45,*,14,8,146,18.25,2,57.1%,10.43,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0.0,,
29,2007,2007-09-23,3,24.214,CLE,@,OAK,L 24-26,*,5,4,83,20.75,1,80.0%,16.60,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
30,2007,2007-09-30,4,24.221,CLE,,BAL,W 27-13,*,5,3,97,32.33,1,60.0%,19.40,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
31,2007,2007-10-07,5,24.228,CLE,@,NWE,L 17-34,*,11,6,110,18.33,0,54.5%,10.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
32,2007,2007-10-14,6,24.235,CLE,,MIA,W 41-31,*,9,5,67,13.40,3,55.6%,7.44,0,0,,0,0,0,,0,0,0,,,,,,,3,18,0.0,,
33,2007,2007-10-28,7,24.249,CLE,@,STL,W 27-20,*,10,8,117,14.63,2,80.0%,11.70,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0.0,,
34,2007,2007-11-04,8,24.256,CLE,,SEA,W 33-30,*,11,5,67,13.40,0,45.5%,6.09,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
35,2007,2007-11-11,9,24.263,CLE,@,PIT,L 28-31,*,7,1,16,16.00,1,14.3%,2.29,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
36,2007,2007-11-18,10,24.270,CLE,@,BAL,W 33-30,*,15,8,85,10.63,0,53.3%,5.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
37,2007,2007-11-25,11,24.277,CLE,,HOU,W 27-17,*,9,4,57,14.25,1,44.4%,6.33,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
38,2007,2007-12-02,12,24.284,CLE,@,ARI,L 21-27,*,14,7,149,21.29,1,50.0%,10.64,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
39,2007,2007-12-09,13,24.291,CLE,@,NYJ,W 24-18,*,6,3,63,21.00,1,50.0%,10.50,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
40,2007,2007-12-16,14,24.298,CLE,,BUF,W 8-0,*,6,4,64,16.00,0,66.7%,10.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
41,2007,2007-12-23,15,24.305,CLE,@,CIN,L 14-19,*,16,8,52,6.50,2,50.0%,3.25,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0.0,,
42,2007,2007-12-30,16,24.312,CLE,,SFO,W 20-7,*,7,3,67,22.33,1,42.9%,9.57,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
43,2008,2008-09-07,1,25.199,CLE,,DAL,L 10-28,*,9,2,14,7.00,0,22.2%,1.56,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
44,2008,2008-09-14,2,25.206,CLE,,PIT,L 6-10,*,9,3,32,10.67,0,33.3%,3.56,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
45,2008,2008-09-21,3,25.213,CLE,@,BAL,L 10-28,*,7,3,27,9.00,0,42.9%,3.86,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
46,2008,2008-09-28,4,25.220,CLE,@,CIN,W 20-12,*,5,3,22,7.33,1,60.0%,4.40,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
47,2008,2008-10-13,5,25.235,CLE,,NYG,W 35-14,*,6,5,154,30.80,1,83.3%,25.67,0,0,,0,0,0,,0,0,0,,,,,,1,1,8,0.0,0,0
48,2008,2008-10-19,6,25.241,CLE,@,WAS,L 11-14,*,13,4,58,14.50,0,30.8%,4.46,0,0,,0,0,0,,0,0,0,,,,,,1,0,2,0.0,0,0
49,2008,2008-10-26,7,25.248,CLE,@,JAX,W 23-17,*,6,2,64,32.00,0,33.3%,10.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
50,2008,2008-11-02,8,25.255,CLE,,BAL,L 27-37,*,9,4,86,21.50,1,44.4%,9.56,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
51,2008,2008-11-06,9,25.259,CLE,,DEN,L 30-34,*,6,1,15,15.00,0,16.7%,2.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
52,2008,2008-11-17,10,25.270,CLE,@,BUF,W 29-27,*,16,8,104,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
53,2008,2008-11-23,11,25.276,CLE,,HOU,L 6-16,*,15,5,85,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
54,2008,2008-11-30,12,25.283,CLE,,IND,L 6-10,*,5,2,36,18.00,0,40.0%,7.20,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
55,2008,2008-12-07,13,25.290,CLE,@,TEN,L 9-28,*,14,3,38,12.67,0,21.4%,2.71,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
56,2008,2008-12-15,14,25.298,CLE,@,PHI,L 10-30,*,5,5,102,20.40,0,100.0%,20.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
57,2008,2008-12-21,15,25.304,CLE,,CIN,L 0-14,*,8,4,31,7.75,0,50.0%,3.88,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
58,2008,2008-12-28,16,25.311,CLE,@,PIT,L 0-31,*,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
59,2009,2009-09-13,1,26.204,CLE,,MIN,L 20-34,*,5,1,12,12.00,0,20.0%,2.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
60,2009,2009-09-20,2,26.211,CLE,@,DEN,L 6-27,*,7,6,92,15.33,0,85.7%,13.14,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
61,2009,2009-09-27,3,26.218,CLE,@,BAL,L 3-34,*,6,3,35,11.67,0,50.0%,5.83,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
62,2009,2009-10-04,4,26.225,CLE,,CIN,L 20-23,*,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
63,2009,2009-10-12,5,26.233,NYJ,@,MIA,L 27-31,*,9,5,64,12.80,1,55.6%,7.11,0,0,,0,0,0,,0,0,0,,0,,,,,1,6,0.0,0,0
64,2009,2009-10-18,6,26.239,NYJ,,BUF,L 13-16,*,9,3,40,13.33,0,33.3%,4.44,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,2,0
65,2009,2009-10-25,7,26.246,NYJ,@,OAK,W 38-0,*,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
66,2009,2009-11-01,8,26.253,NYJ,,MIA,L 25-30,*,8,4,74,18.50,1,50.0%,9.25,0,0,,0,0,0,,0,0,0,,0,,,,,1,6,0.0,0,0
67,2009,2009-11-15,9,26.267,NYJ,,JAX,L 22-24,*,5,3,79,26.33,0,60.0%,15.80,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,0,0,0.0,1,0
68,2009,2009-11-22,10,26.274,NYJ,@,NWE,L 14-31,*,5,1,10,10.00,0,20.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,1,0
69,2009,2009-11-29,11,26.281,NYJ,,CAR,W 17-6,*,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,1,0
70,2009,2009-12-03,12,26.285,NYJ,@,BUF,W 19-13,*,6,3,45,15.00,1,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,,,,,1,6,0.0,0,0
71,2009,2009-12-13,13,26.295,NYJ,@,TAM,W 26-3,,5,3,37,12.33,0,60.0%,7.40,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
72,2009,2009-12-20,14,26.302,NYJ,,ATL,L 7-10,*,7,5,105,21.00,1,71.4%,15.00,0,0,,0,0,0,,0,0,0,,0,,,,,1,6,0.0,1,0
73,2009,2009-12-27,15,26.309,NYJ,@,IND,W 29-15,*,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,0,0,,0,,,,1,0,2,0.0,0,0
74,2009,2010-01-03,16,26.316,NYJ,,CIN,W 37-0,*,7,2,15,7.50,0,28.6%,2.14,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
75,2010,2010-09-13,1,27.204,NYJ,,BAL,L 9-10,*,3,1,9,9.00,0,33.3%,3.00,1,4,4.00,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
76,2010,2010-09-19,2,27.210,NYJ,,NWE,W 28-14,*,6,5,45,9.00,1,83.3%,7.50,0,0,,0,0,0,,0,0,0,,,,,,1,1,8,0.0,0,0
77,2010,2010-09-26,3,27.217,NYJ,@,MIA,W 31-23,,3,2,87,43.50,1,66.7%,29.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
78,2010,2010-10-03,4,27.224,NYJ,@,BUF,W 38-14,*,7,4,86,21.50,1,57.1%,12.29,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
79,2010,2010-10-11,5,27.232,NYJ,,MIN,W 29-20,*,11,5,70,14.00,0,45.5%,6.36,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
80,2010,2010-10-17,6,27.238,NYJ,@,DEN,W 24-20,*,8,4,46,11.50,1,50.0%,5.75,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
81,2010,2010-10-31,7,27.252,NYJ,,GNB,L 0-9,*,4,1,32,32.00,0,25.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
82,2010,2010-11-07,8,27.259,NYJ,@,DET,W 23-20,*,8,3,78,26.00,1,37.5%,9.75,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,1,0
83,2010,2010-11-14,9,27.266,NYJ,@,CLE,W 26-20,*,7,4,59,14.75,0,57.1%,8.43,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
84,2010,2010-11-21,10,27.273,NYJ,,HOU,W 30-27,*,6,4,86,21.50,1,66.7%,14.33,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
85,2010,2010-11-25,11,27.277,NYJ,,CIN,W 26-10,*,8,2,20,10.00,0,25.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
86,2010,2010-12-06,12,27.288,NYJ,@,NWE,L 3-45,*,7,2,39,19.50,0,28.6%,5.57,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
87,2010,2010-12-12,13,27.294,NYJ,,MIA,L 6-10,*,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
88,2010,2010-12-19,14,27.301,NYJ,@,PIT,W 22-17,*,11,8,100,12.50,0,72.7%,9.09,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
89,2010,2010-12-26,15,27.308,NYJ,@,CHI,L 34-38,*,8,6,78,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
90,2010,2011-01-02,16,27.315,NYJ,,BUF,W 38-7,*,2,1,52,52.00,1,50.0%,26.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
91,2011,2011-09-11,1,28.202,SFO,,SEA,W 33-17,*,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
92,2011,2011-09-18,2,28.209,SFO,,DAL,L 24-27,*,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
93,2011,2011-10-30,7,28.251,SFO,,CLE,W 20-10,,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
94,2011,2011-11-06,8,28.258,SFO,@,WAS,W 19-11,,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
95,2011,2011-11-13,9,28.265,SFO,,NYG,W 27-20,*,6,3,47,15.67,0,50.0%,7.83,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
96,2011,2011-11-20,10,28.272,SFO,,ARI,W 23-7,*,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
97,2011,2011-11-24,11,28.276,SFO,@,BAL,L 6-16,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
98,2011,2011-12-11,13,28.293,SFO,@,ARI,L 19-21,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
99,2011,2011-12-24,15,28.306,SFO,@,SEA,W 19-17,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
100,2012,2012-09-09,1,29.201,SEA,@,ARI,L 16-20,*,9,5,43,8.60,0,55.6%,4.78,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
101,2012,2012-09-16,2,29.208,SEA,,DAL,W 27-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
102,2012,2012-09-24,3,29.216,SEA,,GNB,W 14-12,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
103,2012,2012-09-30,4,29.222,SEA,@,STL,L 13-19,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
104,2012,2012-10-07,5,29.229,SEA,@,CAR,W 16-12,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
105,2012,2012-10-14,6,29.236,SEA,,NWE,W 24-23,,3,2,21,10.50,1,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
106,2012,2012-10-18,7,29.240,SEA,@,SFO,L 6-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
107,2012,2012-11-11,10,29.264,SEA,,NYJ,W 28-7,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
108,2012,2012-11-25,11,29.278,SEA,@,MIA,L 21-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
109,2012,2012-12-02,12,29.285,SEA,@,CHI,W 23-17,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
110,2012,2012-12-17,14,29.300,NYJ,@,TEN,L 10-14,*,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
111,2012,2012-12-23,15,29.306,NYJ,,SDG,L 17-27,*,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
112,2012,2012-12-30,16,29.313,NYJ,@,BUF,L 9-28,*,8,4,42,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
