ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
18,1962,1962-09-23,2,26.360,PIT,@,DAL,W 30-28,1,0,0.00,0,4,4,100.0,,,,0,4,0,0,0
19,1962,1962-09-30,3,27.002,PIT,,NYG,L 27-31,0,0,,0,3,3,100.0,2,4,50.0,0,9,0,0,0
20,1962,1962-10-06,4,27.008,PIT,,PHI,W 13-7,0,0,,0,1,1,100.0,2,4,50.0,0,7,0,0,0
21,1962,1962-10-14,5,27.016,PIT,@,NYG,W 20-17,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,0
22,1962,1962-10-21,6,27.023,PIT,,DAL,L 27-42,0,0,,0,3,3,100.0,2,4,50.0,0,9,0,0,0
23,1962,1962-10-28,7,27.030,PIT,,CLE,L 14-41,,,,,2,2,100.0,,,,0,2,,,
24,1962,1962-11-04,8,27.037,PIT,,MIN,W 39-31,0,0,,0,4,4,100.0,3,5,60.0,0,13,0,0,0
25,1962,1962-11-11,9,27.044,PIT,@,STL,W 26-17,0,0,,0,2,3,66.7,2,3,66.7,0,8,0,0,0
26,1962,1962-11-18,10,27.051,PIT,,WAS,W 23-21,0,0,,0,2,2,100.0,3,5,60.0,0,11,0,0,0
27,1962,1962-11-25,11,27.058,PIT,@,CLE,L 14-35,,,,,2,2,100.0,,,,0,2,,,
28,1962,1962-12-02,12,27.065,PIT,,STL,W 19-7,0,0,,0,1,1,100.0,4,8,50.0,0,13,0,0,0
29,1962,1962-12-09,13,27.072,PIT,@,PHI,W 26-17,1,15,15.00,0,2,2,100.0,4,4,100.0,0,14,0,0,0
30,1962,1962-12-16,14,27.079,PIT,@,WAS,W 27-24,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,0
31,1963,1963-09-15,1,27.352,PIT,@,PHI,T 21-21,0,0,,0,,2,0.0,3,5,60.0,0,9,0,0,0
32,1963,1963-09-22,2,27.359,PIT,,NYG,W 31-0,0,0,,0,4,4,100.0,1,1,100.0,0,7,1,0,0
33,1963,1963-09-29,3,28.001,PIT,,STL,W 23-10,0,0,,0,2,2,100.0,3,4,75.0,0,11,0,0,0
34,1963,1963-10-05,4,28.007,PIT,@,CLE,L 23-35,0,0,,0,2,2,100.0,3,4,75.0,0,11,0,0,0
35,1963,1963-10-13,5,28.015,PIT,@,STL,L 23-24,0,0,,0,2,2,100.0,3,5,60.0,0,11,0,0,0
36,1963,1963-10-20,6,28.022,PIT,,WAS,W 38-27,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,0
37,1963,1963-10-27,7,28.029,PIT,,DAL,W 27-21,,,,,1,2,50.0,,,,0,1,,,
38,1963,1963-11-03,8,28.036,PIT,@,GNB,L 14-33,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,0
39,1963,1963-11-10,9,28.043,PIT,,CLE,W 9-7,0,0,,0,1,1,100.0,,5,0.0,0,1,0,0,0
40,1963,1963-11-17,10,28.050,PIT,@,WAS,W 34-28,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,0
41,1963,1963-11-24,11,28.057,PIT,,CHI,T 17-17,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,0
42,1963,1963-12-01,12,28.064,PIT,,PHI,T 20-20,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,0
43,1963,1963-12-08,13,28.071,PIT,@,DAL,W 24-19,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,0
44,1963,1963-12-15,14,28.078,PIT,@,NYG,L 17-33,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,0
45,1964,1964-09-13,1,28.351,BAL,@,MIN,L 24-34,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,0
46,1964,1964-09-20,2,28.358,BAL,@,GNB,W 21-20,0,0,,0,3,3,100.0,,2,0.0,0,3,0,0,0
47,1964,1964-09-27,3,28.365,BAL,,CHI,W 52-0,0,0,,0,7,7,100.0,1,1,100.0,0,10,0,0,0
48,1964,1964-10-04,4,29.006,BAL,,RAM,W 35-20,0,0,,0,5,5,100.0,,1,0.0,0,5,0,0,0
49,1964,1964-10-12,5,29.014,BAL,,STL,W 47-27,0,0,,0,5,5,100.0,4,4,100.0,0,17,0,0,0
50,1964,1964-10-18,6,29.020,BAL,,GNB,W 24-21,0,0,,0,3,3,100.0,1,4,25.0,0,6,0,0,0
51,1964,1964-10-25,7,29.027,BAL,@,DET,W 34-0,0,0,,0,4,4,100.0,2,4,50.0,0,10,0,0,0
52,1964,1964-11-01,8,29.034,BAL,,SFO,W 37-7,0,0,,0,4,5,80.0,1,3,33.3,0,7,0,0,0
53,1964,1964-11-08,9,29.041,BAL,@,CHI,W 40-24,0,0,,0,4,4,100.0,4,4,100.0,0,16,0,0,0
54,1964,1964-11-15,10,29.048,BAL,,MIN,W 17-14,0,0,,0,2,2,100.0,1,4,25.0,0,5,0,0,0
55,1964,1964-11-22,11,29.055,BAL,@,RAM,W 24-7,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,0
56,1964,1964-11-29,12,29.062,BAL,@,SFO,W 14-3,,,,,2,2,100.0,,1,0.0,0,2,,,
57,1964,1964-12-06,13,29.069,BAL,,DET,L 14-31,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,0
58,1964,1964-12-13,14,29.076,BAL,,WAS,W 45-17,0,0,,0,6,6,100.0,1,1,100.0,0,9,0,0,0
59,1965,1965-09-19,1,29.356,BAL,,MIN,W 35-16,,,,,5,5,100.0,,,,0,5,,,
60,1965,1965-09-26,2,29.363,BAL,@,GNB,L 17-20,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,0
61,1965,1965-10-03,3,30.005,BAL,,SFO,W 27-24,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,0
62,1965,1965-10-10,4,30.012,BAL,,DET,W 31-7,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,0
63,1965,1965-10-17,5,30.019,BAL,@,WAS,W 38-7,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,0
64,1965,1965-10-24,6,30.026,BAL,,RAM,W 35-20,0,0,,0,5,5,100.0,,1,0.0,0,5,0,0,0
65,1965,1965-10-31,7,30.033,BAL,@,SFO,W 34-28,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,0
66,1965,1965-11-07,8,30.040,BAL,@,CHI,W 26-21,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,0
67,1965,1965-11-14,9,30.047,BAL,@,MIN,W 41-21,0,0,,0,5,5,100.0,2,2,100.0,0,11,0,0,0
68,1965,1965-11-21,10,30.054,BAL,,PHI,W 34-24,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,0
69,1965,1965-11-25,11,30.058,BAL,@,DET,T 24-24,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,0
70,1965,1965-12-05,12,30.068,BAL,,CHI,L 0-13,0,0,,0,,,,,2,0.0,0,0,0,0,0
71,1965,1965-12-12,13,30.075,BAL,,GNB,L 27-42,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,0
72,1965,1965-12-18,14,30.081,BAL,@,RAM,W 20-17,0,0,,0,2,2,100.0,2,5,40.0,0,8,0,0,0
73,1966,1966-09-10,1,30.347,BAL,@,GNB,L 3-24,0,0,,0,,,,1,1,100.0,0,3,0,0,0
74,1966,1966-09-18,2,30.355,BAL,@,MIN,W 38-23,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,0
75,1966,1966-09-25,3,30.362,BAL,,SFO,W 36-14,0,0,,0,3,3,100.0,5,5,100.0,0,18,0,0,0
76,1966,1966-10-09,4,31.011,BAL,@,CHI,L 17-27,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,0
77,1966,1966-10-16,5,31.018,BAL,,DET,W 45-14,0,0,,0,6,6,100.0,1,3,33.3,0,9,0,0,0
78,1966,1966-10-23,6,31.025,BAL,,MIN,W 20-17,0,0,,0,2,2,100.0,2,4,50.0,0,8,0,0,0
79,1966,1966-10-30,7,31.032,BAL,@,RAM,W 17-3,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,0
80,1966,1966-11-06,8,31.039,BAL,,WAS,W 37-10,0,0,,0,4,4,100.0,3,3,100.0,0,13,0,0,0
81,1966,1966-11-13,9,31.046,BAL,@,ATL,W 19-7,0,0,,0,1,1,100.0,4,6,66.7,0,13,0,0,0
82,1966,1966-11-20,10,31.053,BAL,@,DET,L 14-20,0,0,,0,2,2,100.0,,3,0.0,0,2,0,0,0
83,1966,1966-11-27,11,31.060,BAL,,RAM,L 7-23,,,,,1,1,100.0,,,,0,1,,,
84,1966,1966-12-04,12,31.067,BAL,,CHI,W 21-16,0,0,,0,3,3,100.0,,3,0.0,0,3,0,0,0
85,1966,1966-12-10,13,31.073,BAL,,GNB,L 10-14,0,0,,0,1,1,100.0,1,4,25.0,0,4,0,0,0
86,1966,1966-12-18,14,31.081,BAL,@,SFO,W 30-14,0,0,,0,3,4,75.0,1,1,100.0,0,6,0,0,0
87,1967,1967-09-17,1,31.354,BAL,,ATL,W 38-31,0,0,,0,5,5,100.0,1,2,50.0,0,8,0,0,0
88,1967,1967-09-24,2,31.361,BAL,@,PHI,W 38-6,0,0,,0,5,5,100.0,1,2,50.0,0,8,0,0,0
89,1967,1967-10-01,3,32.003,BAL,,SFO,W 41-7,0,0,,0,5,5,100.0,2,4,50.0,0,11,0,0,0
90,1967,1967-10-08,4,32.010,BAL,@,CHI,W 24-3,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,0
91,1967,1967-10-15,5,32.017,BAL,,RAM,T 24-24,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,0
92,1967,1967-10-22,6,32.024,BAL,@,MIN,T 20-20,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,0
93,1967,1967-10-29,7,32.031,BAL,@,WAS,W 17-13,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,0
94,1967,1967-11-05,8,32.038,BAL,,GNB,W 13-10,0,0,,0,1,2,50.0,,2,0.0,0,1,0,0,0
95,1967,1967-11-12,9,32.045,BAL,@,ATL,W 49-7,0,0,,0,7,7,100.0,,1,0.0,0,7,0,0,0
96,1967,1967-11-19,10,32.052,BAL,,DET,W 41-7,0,0,,0,5,6,83.3,,3,0.0,0,5,0,0,0
97,1967,1967-11-26,11,32.059,BAL,@,SFO,W 26-9,0,0,,0,2,2,100.0,4,4,100.0,0,14,0,0,0
98,1967,1967-12-03,12,32.066,BAL,,DAL,W 23-17,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,0
99,1967,1967-12-10,13,32.073,BAL,,NOR,W 30-10,0,0,,0,3,3,100.0,3,3,100.0,0,12,0,0,0
100,1967,1967-12-17,14,32.080,BAL,@,RAM,L 10-34,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,0
101,1968,1968-09-15,1,32.353,BAL,,SFO,W 27-10,0,0,,0,3,3,100.0,2,4,50.0,0,9,0,0,0
102,1968,1968-09-22,2,32.360,BAL,@,ATL,W 28-20,,,,,4,4,100.0,,,,0,4,,,
103,1968,1968-09-29,3,33.001,BAL,@,PIT,W 41-7,0,0,,0,5,5,100.0,2,3,66.7,0,11,0,0,0
104,1968,1968-10-06,4,33.008,BAL,,CHI,W 28-7,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,0
105,1968,1968-10-13,5,33.015,BAL,@,SFO,W 42-14,,,,,6,6,100.0,,,,0,6,,,
106,1968,1968-10-20,6,33.022,BAL,,CLE,L 20-30,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,0
107,1968,1968-10-27,7,33.029,BAL,,RAM,W 27-10,0,0,,0,3,4,75.0,,1,0.0,0,3,0,0,0
108,1968,1968-11-03,8,33.036,BAL,@,NYG,W 26-0,0,0,,0,2,3,66.7,2,2,100.0,0,8,0,0,0
109,1968,1968-11-10,9,33.043,BAL,@,DET,W 27-10,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,0
110,1968,1968-11-17,10,33.050,BAL,,STL,W 27-0,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,0
111,1968,1968-11-24,11,33.057,BAL,,MIN,W 21-9,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,0
112,1968,1968-12-01,12,33.064,BAL,,ATL,W 44-0,0,0,,0,5,5,100.0,3,4,75.0,0,14,0,0,0
113,1968,1968-12-07,13,33.070,BAL,@,GNB,W 16-3,0,0,,0,1,1,100.0,3,4,75.0,0,10,0,0,0
114,1968,1968-12-15,14,33.078,BAL,@,RAM,W 28-24,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,0
115,1969,1969-09-21,1,33.358,BAL,,RAM,L 20-27,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,0
116,1969,1969-09-28,2,34.000,BAL,@,MIN,L 14-52,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,0
117,1969,1969-10-05,3,34.007,BAL,@,ATL,W 21-14,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,0
118,1969,1969-10-13,4,34.015,BAL,,PHI,W 24-20,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,0
119,1969,1969-10-19,5,34.021,BAL,@,NOR,W 30-10,0,0,,0,3,4,75.0,1,3,33.3,0,6,0,0,0
120,1969,1969-10-26,6,34.028,BAL,,SFO,L 21-24,0,0,,0,3,3,100.0,,2,0.0,0,3,0,0,0
121,1969,1969-11-02,7,34.035,BAL,,WAS,W 41-17,0,0,,0,5,5,100.0,2,2,100.0,0,11,0,0,0
122,1969,1969-11-09,8,34.042,BAL,,GNB,W 14-6,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,0
123,1969,1969-11-16,9,34.049,BAL,@,SFO,L 17-20,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,0
124,1969,1969-11-23,10,34.056,BAL,@,CHI,W 24-21,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,0
125,1969,1969-11-30,11,34.063,BAL,,ATL,W 13-6,0,0,,0,1,1,100.0,2,4,50.0,0,7,0,0,0
126,1969,1969-12-07,12,34.070,BAL,,DET,T 17-17,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,0
127,1969,1969-12-13,13,34.076,BAL,@,DAL,L 10-27,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,0
128,1969,1969-12-21,14,34.084,BAL,@,RAM,W 13-7,0,0,,0,1,1,100.0,2,4,50.0,0,7,0,0,0
129,1971,1971-09-19,1,35.356,GNB,,NYG,L 40-42,0,0,,0,,,,1,1,100.0,0,3,0,0,0
130,1971,1971-09-26,2,35.363,GNB,,DEN,W 34-13,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,0
131,1971,1971-10-03,3,36.005,GNB,,CIN,W 20-17,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,0
132,1971,1971-10-10,4,36.012,GNB,@,DET,L 28-31,,,,,4,4,100.0,,,,0,4,,,
133,1971,1971-10-17,5,36.019,GNB,,MIN,L 13-24,,,,,1,2,50.0,,,,0,1,,,
134,1971,1971-10-24,6,36.026,GNB,@,RAM,L 13-30,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,0
135,1971,1971-11-01,7,36.034,GNB,,DET,T 14-14,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,0
136,1971,1971-11-07,8,36.040,GNB,@,CHI,W 17-14,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,0
137,1971,1971-11-14,9,36.047,GNB,@,MIN,L 0-3,0,0,,0,,,,,1,0.0,0,0,0,0,0
138,1971,1971-11-22,10,36.055,GNB,@,ATL,L 21-28,,,,,3,3,100.0,,,,0,3,,,
