ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
16,1967,1967-12-24,14,27.109,BUF,@,OAK,L 21-28,0,0,,0,0,0,,0,0,0,1,11,0,0,0,,0
17,1968,1968-09-29,4,28.023,BUF,,NYJ,W 37-35,0,0,,0,0,0,,0,1,6,2,137,1,0,0,,0
18,1968,1968-10-05,5,28.029,BUF,,KAN,L 7-18,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
19,1969,1969-09-14,1,29.008,BOS,@,DEN,L 7-35,0,0,,0,0,0,,0,0,0,0,0,0,4,183,45.75,0
20,1969,1969-09-21,2,29.015,BOS,,KAN,L 0-31,0,0,,0,0,0,,0,0,0,0,0,0,8,334,41.75,0
21,1969,1969-09-28,3,29.022,BOS,,OAK,L 23-38,0,0,,0,0,0,,0,0,0,0,0,0,8,327,40.88,0
22,1969,1969-10-05,4,29.029,BOS,,NYJ,L 14-23,0,0,,0,0,0,,0,0,0,0,0,0,4,153,38.25,0
23,1969,1969-10-11,5,29.035,BOS,@,BUF,L 16-23,0,0,,0,0,0,,0,0,0,0,0,0,4,180,45.00,0
24,1969,1969-10-19,6,29.043,BOS,,SDG,L 10-13,0,0,,0,0,0,,0,0,0,0,0,0,5,183,36.60,0
25,1969,1969-10-26,7,29.050,BOS,@,NYJ,L 17-23,0,0,,0,0,0,,0,0,0,0,0,0,5,201,40.20,0
26,1969,1969-11-02,8,29.057,BOS,,HOU,W 24-0,0,0,,0,0,0,,0,0,0,0,0,0,4,152,38.00,0
27,1969,1969-11-09,9,29.064,BOS,,MIA,L 16-17,0,0,,0,1,0,0.00,0,0,0,0,0,0,5,178,35.60,0
28,1969,1969-11-16,10,29.071,BOS,@,CIN,W 25-14,0,0,,0,0,0,,0,0,0,1,8,0,4,186,46.50,0
29,1969,1969-11-23,11,29.078,BOS,,BUF,W 35-21,0,0,,0,0,0,,0,0,0,0,0,0,4,158,39.50,0
30,1969,1969-11-30,12,29.085,BOS,@,MIA,W 38-23,0,0,,0,0,0,,0,0,0,0,0,0,6,266,44.33,0
31,1969,1969-12-07,13,29.092,BOS,@,SDG,L 18-28,0,0,,0,0,0,,0,0,0,0,0,0,3,115,38.33,0
32,1969,1969-12-14,14,29.099,BOS,@,HOU,L 23-27,0,0,,0,0,0,,0,0,0,0,0,0,6,287,47.83,0
33,1970,1970-09-20,1,30.014,BOS,,MIA,W 27-14,0,0,,0,0,0,,0,0,0,0,0,0,6,238,39.67,0
34,1970,1970-09-27,2,30.021,BOS,,NYJ,L 21-31,0,0,,0,0,0,,0,0,0,0,0,0,5,160,32.00,0
35,1970,1970-10-04,3,30.028,BOS,,BAL,L 6-14,0,0,,0,0,0,,0,0,0,0,0,0,6,225,37.50,0
36,1970,1970-10-11,4,30.035,BOS,@,KAN,L 10-23,0,0,,0,0,0,,0,0,0,0,0,0,7,288,41.14,0
37,1970,1970-10-18,5,30.042,BOS,,NYG,L 0-16,0,0,,0,0,0,,0,0,0,0,0,0,4,150,37.50,0
38,1970,1970-10-25,6,30.049,BOS,@,BAL,L 3-27,0,0,,0,0,0,,0,0,0,0,0,0,5,204,40.80,0
39,1970,1970-11-01,7,30.056,BOS,,BUF,L 10-45,0,0,,0,0,0,,0,0,0,0,0,0,6,229,38.17,0
40,1970,1970-11-08,8,30.063,BOS,@,STL,L 0-31,0,0,,0,0,0,,0,0,0,0,0,0,8,322,40.25,0
41,1970,1970-11-15,9,30.070,BOS,,SDG,L 14-16,0,0,,0,0,0,,0,0,0,0,0,0,6,225,37.50,0
42,1970,1970-11-22,10,30.077,BOS,@,NYJ,L 3-17,0,0,,0,0,0,,0,0,0,0,0,0,7,286,40.86,0
43,1970,1970-11-29,11,30.084,BOS,@,BUF,W 14-10,0,0,,0,0,0,,0,0,0,0,0,0,7,307,43.86,0
44,1970,1970-12-06,12,30.091,BOS,@,MIA,L 20-37,0,0,,0,0,0,,0,0,0,0,0,0,6,263,43.83,0
45,1970,1970-12-13,13,30.098,BOS,,MIN,L 14-35,0,0,,0,0,0,,0,0,0,0,0,0,6,216,36.00,0
46,1970,1970-12-20,14,30.105,BOS,@,CIN,L 7-45,0,0,,0,0,0,,0,0,0,0,0,0,7,251,35.86,1
47,1971,1971-09-19,1,31.013,NWE,,OAK,W 20-6,0,0,,0,0,0,,0,0,0,0,0,0,5,209,41.80,0
48,1971,1971-09-26,2,31.020,NWE,,DET,L 7-34,0,0,,0,0,0,,0,0,0,0,0,0,6,274,45.67,0
49,1971,1971-10-03,3,31.027,NWE,,BAL,L 3-23,0,0,,0,0,0,,0,0,0,0,0,0,6,212,35.33,0
50,1971,1971-10-10,4,31.034,NWE,,NYJ,W 20-0,0,0,,0,0,0,,0,0,0,0,0,0,8,328,41.00,0
51,1971,1971-10-17,5,31.041,NWE,@,MIA,L 3-41,0,0,,0,0,0,,0,0,0,0,0,0,8,316,39.50,0
52,1971,1971-10-24,6,31.048,NWE,@,DAL,L 21-44,0,0,,0,0,0,,0,0,0,0,0,0,6,249,41.50,0
53,1971,1971-10-31,7,31.055,NWE,@,SFO,L 10-27,0,0,,0,0,0,,0,0,0,0,0,0,7,233,33.29,0
54,1971,1971-11-07,8,31.062,NWE,,HOU,W 28-20,0,0,,0,0,0,,0,0,0,0,0,0,7,222,31.71,0
55,1971,1971-11-14,9,31.069,NWE,,BUF,W 38-33,1,0,0.00,0,0,0,,0,0,0,0,0,0,7,278,39.71,0
56,1971,1971-11-21,10,31.076,NWE,@,CLE,L 7-27,0,0,,0,0,0,,0,0,0,0,0,0,4,161,40.25,0
57,1971,1971-11-28,11,31.083,NWE,@,BUF,L 20-27,0,0,,0,0,0,,0,0,0,0,0,0,4,139,34.75,0
58,1971,1971-12-05,12,31.090,NWE,,MIA,W 34-13,0,0,,0,0,0,,0,0,0,0,0,0,6,195,32.50,0
59,1971,1971-12-12,13,31.097,NWE,@,NYJ,L 6-13,0,0,,0,0,0,,0,0,0,0,0,0,6,166,27.67,0
60,1971,1971-12-19,14,31.104,NWE,@,BAL,W 21-17,0,0,,0,0,0,,0,0,0,0,0,0,7,267,38.14,0
