ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,sacks,def_int,def_int_yds,def_int_td
39,1981,1981-11-15,11,25.352,RAM,@,CIN,L 10-24,,,,,,,,
40,1981,1981-11-22,12,25.359,RAM,,SFO,L 31-33,,,,,,,,
41,1981,1981-11-29,13,26.001,RAM,@,PIT,L 0-24,,,,,,,,
42,1981,1981-12-06,14,26.008,RAM,@,NYG,L 7-10,,,,,,,,
43,1981,1981-12-14,15,26.016,RAM,,ATL,W 21-16,,,,,,,,
44,1981,1981-12-20,16,26.022,RAM,,WAS,L 7-30,,,,,,,,
45,1982,1982-09-12,1,26.288,RAM,@,GNB,L 23-35,,,,,,,,
46,1982,1982-09-19,2,26.295,RAM,,DET,L 14-19,,,,,,,,
47,1982,1982-11-21,3,26.358,RAM,@,ATL,L 17-34,,,,,,,,
48,1982,1982-11-28,4,27.000,RAM,,KAN,W 20-14,0,0,,0,1.0,0,0,0
49,1982,1982-12-02,5,27.004,RAM,,SFO,L 24-30,,,,,,,,
50,1982,1982-12-12,6,27.014,RAM,,DEN,L 24-27,0,0,,0,1.0,0,0,0
51,1982,1982-12-18,7,27.020,RAM,@,RAI,L 31-37,,,,,,,,
52,1982,1982-12-26,8,27.028,RAM,,CHI,L 26-34,0,0,,0,1.0,0,0,0
53,1982,1983-01-02,9,27.035,RAM,@,SFO,W 21-20,,,,,,,,
54,1983,1983-09-04,1,27.280,RAM,@,NYG,W 16-6,0,0,,0,1.0,0,0,0
55,1983,1983-09-11,2,27.287,RAM,,NOR,W 30-27,,,,,,,,
56,1983,1983-09-18,3,27.294,RAM,@,GNB,L 24-27,0,0,,0,0.0,1,22,0
57,1983,1983-09-25,4,27.301,RAM,@,NYJ,L 24-27,,,,,,,,
58,1983,1983-10-02,5,27.308,RAM,,DET,W 21-10,,,,,,,,
59,1983,1983-10-09,6,27.315,RAM,@,SFO,W 10-7,,,,,,,,
60,1983,1983-10-16,7,27.322,RAM,,ATL,W 27-21,,,,,,,,
61,1983,1983-10-23,8,27.329,RAM,,SFO,L 35-45,,,,,,,,
62,1983,1983-10-30,9,27.336,RAM,@,MIA,L 14-30,,,,,,,,
63,1983,1983-11-06,10,27.343,RAM,,CHI,W 21-14,,,,,,,,
64,1983,1983-11-14,11,27.351,RAM,@,ATL,W 36-13,,,,,,,,
65,1983,1983-11-20,12,27.357,RAM,,WAS,L 20-42,,,,,,,,
66,1983,1983-11-27,13,27.364,RAM,,BUF,W 41-17,,,,,,,,
67,1983,1983-12-04,14,28.006,RAM,@,PHI,L 9-13,,,,,,,,
68,1983,1983-12-11,15,28.013,RAM,,NWE,L 7-21,0,0,,0,2.0,0,0,0
69,1983,1983-12-18,16,28.020,RAM,@,NOR,W 26-24,,,,,,,,
70,1984,1984-09-03,1,28.280,RAM,,DAL,L 13-20,0,0,,0,1.0,0,0,0
71,1984,1984-09-09,2,28.286,RAM,,CLE,W 20-17,,,,,,,,
72,1984,1984-09-16,3,28.293,RAM,@,PIT,L 14-24,0,0,,0,1.0,0,0,0
73,1984,1984-09-23,4,28.300,RAM,@,CIN,W 24-14,,,,,,,,
74,1984,1984-09-30,5,28.307,RAM,,NYG,W 33-12,,,,,,,,
75,1984,1984-10-07,6,28.314,RAM,,ATL,L 28-30,0,0,,0,1.0,0,0,0
76,1984,1984-10-14,7,28.321,RAM,@,NOR,W 28-10,0,0,,0,2.0,0,0,0
77,1984,1984-10-22,8,28.329,RAM,@,ATL,W 24-10,,,,,,,,
78,1984,1984-10-28,9,28.335,RAM,,SFO,L 0-33,,,,,,,,
79,1984,1984-11-04,10,28.342,RAM,@,STL,W 16-13,0,0,,0,1.0,0,0,0
80,1984,1984-11-11,11,28.349,RAM,,CHI,W 29-13,,,,,,,,
