ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
56,1986,1986-12-07,14,26.186,PHI,,STL,T 10-10,1,3,3.00,0,0,0,,0,0.0
57,1986,1986-12-14,15,26.193,PHI,@,DAL,W 23-21,0,0,,0,,,,,
58,1986,1986-12-21,16,26.200,PHI,,WAS,L 14-21,1,13,13.00,0,0,0,,0,0.0
59,1987,1987-09-13,1,27.101,IND,,CIN,L 21-23,0,0,,0,0,0,,0,1.0
60,1987,1987-09-20,2,27.108,IND,,MIA,L 10-23,,,,,,,,,
61,1987,1987-10-25,6,27.143,IND,,NWE,W 30-16,,,,,,,,,
62,1987,1987-11-01,7,27.150,IND,@,NYJ,W 19-14,,,,,,,,,
63,1987,1987-11-08,8,27.157,IND,,SDG,L 13-16,,,,,,,,,
64,1987,1987-11-15,9,27.164,IND,@,MIA,W 40-21,,,,,,,,,
65,1987,1987-11-22,10,27.171,IND,@,NWE,L 0-24,,,,,,,,,
66,1987,1987-11-29,11,27.178,IND,,HOU,W 51-27,0,0,,0,0,0,,0,1.0
67,1987,1987-12-06,12,27.185,IND,@,CLE,W 9-7,,,,,,,,,
68,1987,1987-12-13,13,27.192,IND,,BUF,L 3-27,,,,,,,,,
69,1987,1987-12-20,14,27.199,IND,@,SDG,W 20-7,,,,,,,,,
70,1987,1987-12-27,15,27.206,IND,,TAM,W 24-6,0,0,,0,0,0,,0,1.0
71,1988,1988-09-04,1,28.092,IND,,HOU,L 14-17,,,,,,,,,
72,1988,1988-09-11,2,28.099,IND,,CHI,L 13-17,,,,,,,,,
73,1988,1988-09-19,3,28.107,IND,@,CLE,L 17-23,,,,,,,,,
74,1988,1988-09-25,4,28.113,IND,,MIA,W 15-13,0,0,,0,0,0,,0,1.0
75,1988,1988-10-02,5,28.120,IND,@,NWE,L 17-21,,,,,,,,,
76,1988,1988-10-09,6,28.127,IND,@,BUF,L 23-34,,,,,,,,,
77,1988,1988-10-16,7,28.134,IND,,TAM,W 35-31,,,,,,,,,
78,1988,1988-10-23,8,28.141,IND,@,SDG,W 16-0,,,,,,,,,
79,1988,1988-10-31,9,28.149,IND,,DEN,W 55-23,,,,,,,,,
80,1988,1988-11-06,10,28.155,IND,,NYJ,W 38-14,0,0,,0,0,0,,0,1.0
81,1988,1988-11-13,11,28.162,IND,@,GNB,W 20-13,,,,,,,,,
82,1988,1988-11-20,12,28.169,IND,@,MIN,L 3-12,,,,,,,,,
83,1988,1988-11-27,13,28.176,IND,,NWE,W 24-21,,,,,,,,,
84,1988,1988-12-04,14,28.183,IND,@,MIA,W 31-28,,,,,,,,,
85,1988,1988-12-10,15,28.189,IND,@,NYJ,L 16-34,,,,,,,,,
86,1988,1988-12-18,16,28.197,IND,,BUF,W 17-14,,,,,,,,,
87,1989,1989-09-10,1,29.098,DET,,PHO,L 13-16,,,,,,,,,
