ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
29,1972,1972-09-17,1,24.029,CIN,@,NWE,W 31-7,9,47,5.22,0,2,14,7.00,0,0,0,,0,0,0,0,0,,0
30,1972,1972-09-24,2,24.036,CIN,,PIT,W 15-10,4,9,2.25,0,1,6,6.00,0,0,0,,0,0,0,0,0,,0
31,1972,1972-10-01,3,24.043,CIN,@,CLE,L 6-27,2,3,1.50,0,1,5,5.00,0,0,0,,0,0,0,0,0,,0
32,1972,1972-10-08,4,24.050,CIN,,DEN,W 21-10,2,10,5.00,0,3,38,12.67,0,0,0,,0,0,0,0,0,,0
33,1972,1972-10-15,5,24.057,CIN,@,KAN,W 23-16,,,,,,,,,,,,,,,,,,
34,1972,1972-10-22,6,24.064,CIN,@,RAM,L 12-15,,,,,,,,,,,,,,,,,,
35,1972,1972-10-29,7,24.071,CIN,,HOU,W 30-7,19,110,5.79,1,5,31,6.20,0,0,0,,0,1,6,0,0,,0
36,1972,1972-11-05,8,24.078,CIN,@,PIT,L 17-40,16,89,5.56,0,6,80,13.33,0,0,0,,0,0,0,0,0,,0
37,1972,1972-11-12,9,24.085,CIN,,OAK,L 14-20,16,45,2.81,1,4,17,4.25,0,0,0,,0,1,6,0,0,,0
38,1972,1972-11-19,10,24.092,CIN,,BAL,L 19-20,16,41,2.56,1,3,25,8.33,0,0,0,,0,1,6,0,0,,0
39,1972,1972-11-26,11,24.099,CIN,@,CHI,W 13-3,15,40,2.67,0,4,17,4.25,0,0,0,,0,0,0,0,0,,0
40,1972,1972-12-03,12,24.106,CIN,,NYG,W 13-10,7,13,1.86,0,3,35,11.67,0,0,0,,0,0,0,0,0,,0
41,1972,1972-12-09,13,24.112,CIN,,CLE,L 24-27,14,75,5.36,1,2,11,5.50,0,0,0,,0,1,6,0,0,,0
42,1972,1972-12-17,14,24.120,CIN,@,HOU,W 61-17,8,83,10.38,2,5,69,13.80,1,0,0,,0,3,18,0,0,,0
43,1974,1974-09-15,1,26.027,CIN,,CLE,W 33-7,7,31,4.43,0,0,0,,0,0,0,,0,0,0,0,0,,0
44,1974,1974-09-22,2,26.034,CIN,,SDG,L 17-20,0,0,,0,0,0,,0,1,-2,-2.00,0,0,0,0,0,,0
45,1974,1974-09-29,3,26.041,CIN,@,SFO,W 21-3,9,55,6.11,0,1,8,8.00,0,0,0,,0,0,0,0,0,,0
46,1974,1974-10-06,4,26.048,CIN,,WAS,W 28-17,4,-1,-0.25,0,1,6,6.00,0,0,0,,0,0,0,0,0,,0
47,1974,1974-10-13,5,26.055,CIN,@,CLE,W 34-24,2,2,1.00,0,0,0,,0,1,16,16.00,0,0,0,0,0,,0
48,1974,1974-10-20,6,26.062,CIN,@,OAK,L 27-30,2,4,2.00,2,0,0,,0,0,0,,0,2,12,0,0,,0
49,1974,1974-10-27,7,26.069,CIN,,HOU,L 21-34,0,0,,0,1,9,9.00,0,1,18,18.00,0,0,0,0,0,,0
50,1974,1974-11-03,8,26.076,CIN,@,BAL,W 24-14,6,15,2.50,0,2,11,5.50,0,0,0,,0,0,0,0,0,,0
51,1974,1974-11-10,9,26.083,CIN,,PIT,W 17-10,14,45,3.21,0,9,84,9.33,0,0,0,,0,0,0,0,0,,0
52,1974,1974-11-17,10,26.090,CIN,@,HOU,L 3-20,4,23,5.75,0,1,6,6.00,0,0,0,,0,0,0,0,0,,0
53,1974,1974-12-02,12,26.105,CIN,@,MIA,L 3-24,4,3,0.75,0,8,51,6.38,0,0,0,,0,0,0,0,0,,0
54,1974,1974-12-08,13,26.111,CIN,,DET,L 19-23,12,62,5.17,0,6,21,3.50,0,0,0,,0,0,0,0,0,,0
55,1974,1974-12-14,14,26.117,CIN,@,PIT,L 3-27,8,16,2.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
56,1975,1975-09-21,1,27.033,NWE,,HOU,L 0-7,,,,,,,,,,,,,,,,,,
57,1975,1975-09-28,2,27.040,NWE,,MIA,L 14-22,,,,,,,,,,,,,,,,,,
58,1975,1975-10-05,3,27.047,NWE,@,NYJ,L 7-36,3,8,2.67,0,1,-1,-1.00,0,0,0,,0,0,0,0,0,,0
59,1975,1975-10-12,4,27.054,NWE,@,CIN,L 10-27,,,,,,,,,,,,,,,,,,
60,1975,1975-10-19,5,27.061,NWE,,BAL,W 21-10,,,,,,,,,,,,,,,,,,
61,1975,1975-11-02,7,27.075,KAN,,HOU,L 13-17,,,,,,,,,,,,,,,,,,
62,1975,1975-11-10,8,27.083,KAN,@,DAL,W 34-31,,,,,,,,,,,,,,,,,,
63,1975,1975-11-16,9,27.089,KAN,@,PIT,L 3-28,,,,,,,,,,,,,,,,,,
64,1975,1975-11-23,10,27.096,KAN,,DET,W 24-21,0,0,,0,0,0,,0,1,18,18.00,0,0,0,0,0,,0
65,1975,1975-11-30,11,27.103,KAN,@,BAL,L 14-28,1,11,11.00,0,1,3,3.00,1,0,0,,0,1,6,4,100,25.00,0
66,1975,1975-12-07,12,27.110,KAN,,SDG,L 20-28,,,,,,,,,,,,,,,,,,
67,1975,1975-12-14,13,27.117,KAN,@,CLE,L 14-40,2,5,2.50,0,1,4,4.00,0,0,0,,0,0,0,0,0,,0
68,1975,1975-12-21,14,27.124,KAN,@,OAK,L 20-28,,,,,,,,,,,,,,,,,,
