ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
24,2002,2002-10-27,7,26.002,JAX,,HOU,L 19-21,,0,0,,0,0.0,,,8,353,44.13,0
25,2002,2002-11-03,8,26.009,JAX,@,NYG,L 17-24,,0,0,,0,0.0,,,3,108,36.00,0
26,2002,2002-11-10,9,26.016,JAX,,WAS,W 26-7,,0,0,,0,0.0,,,5,241,48.20,0
27,2002,2002-11-17,10,26.023,JAX,@,HOU,W 24-21,,0,0,,0,0.0,,,6,258,43.00,0
28,2002,2002-11-24,11,26.030,JAX,@,DAL,L 19-21,,0,0,,0,0.0,,,6,267,44.50,0
29,2002,2002-12-01,12,26.037,JAX,,PIT,L 23-25,,0,0,,0,0.0,,,6,250,41.67,0
30,2002,2002-12-08,13,26.044,JAX,,CLE,L 20-21,,0,0,,0,0.0,,,7,326,46.57,0
31,2002,2002-12-15,14,26.051,JAX,@,CIN,W 29-15,,0,0,,0,0.0,,,5,210,42.00,0
32,2002,2002-12-22,15,26.058,JAX,,TEN,L 10-28,,0,0,,0,0.0,,,7,290,41.43,0
33,2002,2002-12-29,16,26.065,JAX,@,IND,L 13-20,,0,0,,0,0.0,,,3,122,40.67,0
34,2003,2003-09-07,1,26.317,JAX,@,CAR,L 23-24,,0,0,,0,0.0,,,7,327,46.71,1
35,2003,2003-09-14,2,26.324,JAX,,BUF,L 17-38,,0,0,,0,0.0,,,4,177,44.25,0
36,2003,2003-09-21,3,26.331,JAX,@,IND,L 13-23,,0,0,,0,0.0,,,4,155,38.75,0
37,2003,2003-09-28,4,26.338,JAX,@,HOU,L 20-24,,0,0,,0,0.0,,,4,174,43.50,0
38,2003,2003-10-05,5,26.345,JAX,,SDG,W 27-21,,0,0,,0,0.0,,,4,168,42.00,0
39,2004,2004-09-12,1,27.323,JAX,@,BUF,W 13-10,,0,0,,0,0.0,,,6,282,47.00,0
40,2004,2004-09-19,2,27.330,JAX,,DEN,W 7-6,,0,0,,0,0.0,,,9,397,44.11,0
41,2004,2004-09-26,3,27.337,JAX,@,TEN,W 15-12,,0,0,,0,0.0,,,7,273,39.00,0
42,2004,2004-10-03,4,27.344,JAX,,IND,L 17-24,,0,0,,0,0.0,,,1,33,33.00,0
43,2004,2004-10-10,5,27.351,JAX,@,SDG,L 21-34,,0,0,,0,0.0,,,3,116,38.67,0
44,2004,2004-10-17,6,27.358,JAX,,KAN,W 22-16,,0,0,,0,0.0,,,5,230,46.00,0
45,2004,2004-10-24,7,27.365,JAX,@,IND,W 27-24,,0,0,,0,0.0,,,1,36,36.00,0
46,2004,2004-10-31,8,28.006,JAX,@,HOU,L 6-20,,0,0,,0,0.0,,,4,188,47.00,0
47,2004,2004-11-14,9,28.020,JAX,,DET,W 23-17,,0,0,,0,0.0,,,8,315,39.38,0
48,2004,2004-11-21,10,28.027,JAX,,TEN,L 15-18,,0,0,,0,0.0,,,6,245,40.83,0
49,2004,2004-11-28,11,28.034,JAX,@,MIN,L 16-27,,0,0,,0,0.0,,,2,108,54.00,0
50,2004,2004-12-05,12,28.041,JAX,,PIT,L 16-17,,0,0,,0,0.0,,,3,150,50.00,0
51,2004,2004-12-12,13,28.048,JAX,,CHI,W 22-3,,0,0,,0,0.0,,,8,341,42.63,0
52,2004,2004-12-19,14,28.055,JAX,@,GNB,W 28-25,,0,0,,0,0.0,,,7,256,36.57,0
53,2004,2004-12-26,15,28.062,JAX,,HOU,L 0-21,,0,0,,0,0.0,,,7,317,45.29,0
54,2004,2005-01-02,16,28.069,JAX,@,OAK,W 13-6,,0,0,,0,0.0,,,7,305,43.57,0
55,2005,2005-09-11,1,28.321,JAX,,SEA,W 26-14,,0,0,,0,0.0,,,4,176,44.00,0
56,2005,2005-09-18,2,28.328,JAX,@,IND,L 3-10,,0,0,,0,0.0,,,7,319,45.57,0
57,2005,2005-09-25,3,28.335,JAX,@,NYJ,W 26-20,,0,0,,0,0.0,,,6,300,50.00,0
58,2005,2005-10-02,4,28.342,JAX,,DEN,L 7-20,,0,0,,0,0.0,,,6,251,41.83,0
59,2005,2005-10-09,5,28.349,JAX,,CIN,W 23-20,,0,0,,0,0.0,,,5,199,39.80,0
60,2005,2005-10-16,6,28.356,JAX,@,PIT,W 23-17,,0,0,,0,0.0,,,9,422,46.89,0
61,2005,2005-10-30,7,29.005,JAX,@,STL,L 21-24,,0,0,,0,0.0,,,2,77,38.50,1
62,2005,2005-11-06,8,29.012,JAX,,HOU,W 21-14,,0,0,,0,0.0,,,6,227,37.83,0
63,2005,2005-11-13,9,29.019,JAX,,BAL,W 30-3,,0,0,,0,0.0,,,5,203,40.60,0
64,2005,2005-11-20,10,29.026,JAX,@,TEN,W 31-28,,0,0,,0,0.0,,,6,301,50.17,0
65,2005,2005-11-27,11,29.033,JAX,@,ARI,W 24-17,,0,0,,0,0.0,,,4,156,39.00,0
66,2005,2005-12-04,12,29.040,JAX,@,CLE,W 20-14,,0,0,,0,0.0,,,4,165,41.25,0
67,2005,2005-12-11,13,29.047,JAX,,IND,L 18-26,,0,0,,0,0.0,,,5,193,38.60,0
68,2005,2005-12-18,14,29.054,JAX,,SFO,W 10-9,,0,0,,0,0.0,,,8,314,39.25,0
69,2005,2005-12-24,15,29.060,JAX,@,HOU,W 38-20,,0,0,,0,0.0,,,2,98,49.00,0
70,2005,2006-01-01,16,29.068,JAX,,TEN,W 40-13,,0,0,,0,0.0,,,3,116,38.67,0
71,2006,2006-09-10,1,29.320,JAX,,DAL,W 24-17,,0,0,,0,0.0,,,6,264,44.00,0
72,2006,2006-09-18,2,29.328,JAX,,PIT,W 9-0,,0,0,,0,0.0,,,6,251,41.83,0
73,2006,2006-09-24,3,29.334,JAX,@,IND,L 14-21,,0,0,,0,0.0,,,4,186,46.50,0
74,2006,2006-10-01,4,29.341,JAX,@,WAS,L 30-36,,0,0,,0,0.0,,,5,246,49.20,0
75,2006,2006-10-08,5,29.348,JAX,,NYJ,W 41-0,,0,0,,0,0.0,,,4,154,38.50,0
76,2006,2006-10-22,6,29.362,JAX,@,HOU,L 7-27,,0,0,,0,0.0,,,7,295,42.14,0
77,2006,2006-10-29,7,30.004,JAX,@,PHI,W 13-6,,0,0,,0,0.0,,,5,199,39.80,0
78,2006,2006-11-05,8,30.011,JAX,,TEN,W 37-7,,0,0,,0,0.0,,,5,205,41.00,0
79,2006,2006-11-12,9,30.018,JAX,,HOU,L 10-13,,0,0,,0,0.0,,,4,146,36.50,0
80,2006,2006-11-20,10,30.026,JAX,,NYG,W 26-10,,0,0,,0,0.0,,,4,147,36.75,0
81,2006,2006-11-26,11,30.032,JAX,@,BUF,L 24-27,,0,0,,0,0.0,,,6,232,38.67,0
82,2006,2006-12-03,12,30.039,JAX,@,MIA,W 24-10,,0,0,,0,0.0,,,3,115,38.33,0
83,2006,2006-12-10,13,30.046,JAX,,IND,W 44-17,,0,0,,0,0.0,,,1,20,20.00,0
84,2006,2006-12-17,14,30.053,JAX,@,TEN,L 17-24,,0,0,,0,0.0,,,2,75,37.50,0
85,2006,2006-12-24,15,30.060,JAX,,NWE,L 21-24,,0,0,,0,0.0,,,5,194,38.80,0
86,2006,2006-12-31,16,30.067,JAX,@,KAN,L 30-35,,0,0,,0,0.0,,,5,191,38.20,1
87,2007,2007-09-09,1,30.319,NWE,@,NYJ,W 38-14,,0,0,,0,0.0,,,1,53,53.00,0
88,2007,2007-09-16,2,30.326,NWE,,SDG,W 38-14,,0,0,,0,0.0,,,1,34,34.00,0
89,2007,2007-09-23,3,30.333,NWE,,BUF,W 38-7,,0,0,,0,0.0,,,2,59,29.50,0
90,2007,2007-10-01,4,30.341,NWE,@,CIN,W 34-13,,0,0,,0,0.0,,,1,38,38.00,0
91,2007,2007-10-07,5,30.347,NWE,,CLE,W 34-17,,0,0,,0,0.0,,,6,215,35.83,0
92,2007,2007-10-14,6,30.354,NWE,@,DAL,W 48-27,,0,0,,0,0.0,,,2,83,41.50,0
93,2007,2007-10-21,7,30.361,NWE,@,MIA,W 49-28,,0,0,,0,0.0,,,3,162,54.00,0
94,2007,2007-10-28,8,31.003,NWE,,WAS,W 52-7,,0,0,,0,0.0,,,2,86,43.00,0
95,2007,2007-11-04,9,31.010,NWE,@,IND,W 24-20,,0,0,,0,0.0,,,3,133,44.33,0
96,2007,2007-11-18,10,31.024,NWE,@,BUF,W 56-10,,0,0,,0,0.0,,,1,36,36.00,0
97,2007,2007-11-25,11,31.031,NWE,,PHI,W 31-28,,0,0,,0,0.0,,,2,82,41.00,0
98,2007,2007-12-03,12,31.039,NWE,@,BAL,W 27-24,,0,0,,0,0.0,,,5,187,37.40,0
99,2007,2007-12-09,13,31.045,NWE,,PIT,W 34-13,,0,0,,0,0.0,,,3,107,35.67,0
100,2007,2007-12-16,14,31.052,NWE,,NYJ,W 20-10,,0,0,,0,0.0,,,5,214,42.80,1
101,2007,2007-12-23,15,31.059,NWE,,MIA,W 28-7,,0,0,,0,0.0,,,5,251,50.20,0
102,2007,2007-12-29,16,31.065,NWE,@,NYG,W 38-35,,0,0,,0,0.0,,,2,81,40.50,0
103,2008,2008-09-07,1,31.318,NWE,,KAN,W 17-10,,0,0,,0,0.0,0,0,4,202,50.50,0
104,2008,2008-09-14,2,31.325,NWE,@,NYJ,W 19-10,,0,0,,0,0.0,0,0,3,150,50.00,0
105,2008,2008-09-21,3,31.332,NWE,,MIA,L 13-38,,0,0,,0,0.0,0,1,3,121,40.33,0
106,2008,2008-10-05,4,31.346,NWE,@,SFO,W 30-21,,0,0,,0,0.0,0,1,4,142,35.50,0
107,2008,2008-10-12,5,31.353,NWE,@,SDG,L 10-30,,0,0,,0,0.0,0,0,5,212,42.40,0
108,2008,2008-10-20,6,31.361,NWE,,DEN,W 41-7,,0,0,,0,0.0,0,0,3,117,39.00,0
109,2008,2008-10-26,7,32.001,NWE,,STL,W 23-16,,0,0,,0,0.0,0,0,3,149,49.67,0
110,2008,2008-11-02,8,32.008,NWE,@,IND,L 15-18,,0,0,,0,0.0,0,0,1,64,64.00,0
111,2008,2008-11-09,9,32.015,NWE,,BUF,W 20-10,,0,0,,0,0.0,0,0,2,83,41.50,0
112,2008,2008-11-13,10,32.019,NWE,,NYJ,L 31-34,,0,0,,0,0.0,0,0,4,176,44.00,0
113,2008,2008-11-23,11,32.029,NWE,@,MIA,W 48-28,,0,0,,0,0.0,0,0,1,49,49.00,0
114,2008,2008-11-30,12,32.036,NWE,,PIT,L 10-33,,0,0,,0,0.0,0,0,4,173,43.25,0
115,2008,2008-12-07,13,32.043,NWE,@,SEA,W 24-21,,0,0,,0,0.0,0,0,3,121,40.33,0
116,2008,2008-12-14,14,32.050,NWE,@,OAK,W 49-26,,0,0,,0,0.0,0,0,3,108,36.00,0
117,2008,2008-12-21,15,32.057,NWE,,ARI,W 47-7,,0,0,,0,0.0,0,0,3,141,47.00,0
118,2008,2008-12-28,16,32.064,NWE,@,BUF,W 13-0,,0,0,,0,0.0,0,0,3,135,45.00,0
119,2009,2009-09-14,1,32.324,NWE,,BUF,W 25-24,,0,0,,0,0.0,0,0,1,42,42.00,0
120,2009,2009-09-20,2,32.330,NWE,@,NYJ,L 9-16,,0,0,,0,0.0,0,0,6,221,36.83,0
121,2009,2009-09-27,3,32.337,NWE,,ATL,W 26-10,,0,0,,0,0.0,0,0,2,87,43.50,0
122,2009,2009-10-04,4,32.344,NWE,,BAL,W 27-21,,0,0,,0,0.0,0,0,3,115,38.33,0
123,2009,2009-10-11,5,32.351,NWE,@,DEN,L 17-20,,0,0,,0,0.0,0,0,5,222,44.40,0
124,2009,2009-10-18,6,32.358,NWE,,TEN,W 59-0,,0,0,,0,0.0,0,0,1,36,36.00,0
125,2009,2009-10-25,7,33.000,NWE,@,TAM,W 35-7,,0,0,,0,0.0,0,0,6,224,37.33,0
126,2009,2009-11-08,8,33.014,NWE,,MIA,W 27-17,,0,0,,0,0.0,0,0,3,104,34.67,0
127,2009,2009-11-15,9,33.021,NWE,@,IND,L 34-35,,0,0,,0,0.0,0,0,4,176,44.00,0
128,2009,2009-11-22,10,33.028,NWE,,NYJ,W 31-14,,0,0,,0,0.0,0,0,5,201,40.20,1
129,2009,2009-11-30,11,33.036,NWE,@,NOR,L 17-38,,0,0,,0,0.0,0,0,3,138,46.00,0
130,2009,2009-12-06,12,33.042,NWE,@,MIA,L 21-22,,0,0,,0,0.0,0,0,5,250,50.00,0
131,2009,2009-12-13,13,33.049,NWE,,CAR,W 20-10,,0,0,,0,0.0,0,0,3,85,28.33,0
132,2009,2009-12-20,14,33.056,NWE,@,BUF,W 17-10,,0,0,,0,0.0,0,0,5,169,33.80,0
133,2009,2009-12-27,15,33.063,NWE,,JAX,W 35-7,,0,0,,0,0.0,0,0,1,42,42.00,0
134,2009,2010-01-03,16,33.070,NWE,@,HOU,L 27-34,,0,0,,0,0.0,0,0,3,109,36.33,0
