ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
56,2015,2016-01-03,16,29.050,CAR,,TAM,W 38-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,0,0,0.0,0,0
57,2016,2016-09-08,1,29.299,CAR,@,DEN,L 20-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
58,2016,2016-09-25,3,29.316,CAR,,MIN,L 10-22,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
59,2016,2016-10-02,4,29.323,CAR,@,ATL,L 33-48,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
60,2016,2016-10-16,6,29.337,CAR,@,NOR,L 38-41,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
61,2016,2016-10-30,7,29.351,CAR,,ARI,W 30-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,37,37.00,0,0,0,0.0,0,0
62,2016,2016-11-06,8,29.358,CAR,@,LAR,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,8,8.00,0,0,0,0.0,0,0
63,2016,2016-11-13,9,29.365,CAR,,KAN,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
64,2016,2016-11-17,10,30.003,CAR,,NOR,W 23-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0,0,0,0.0,0,0
65,2016,2016-11-27,11,30.013,CAR,@,OAK,L 32-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
66,2016,2016-12-04,12,30.020,CAR,@,SEA,L 7-40,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
67,2016,2016-12-11,13,30.027,CAR,,SDG,W 28-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,0.0,0,0
68,2016,2016-12-19,14,30.035,CAR,@,WAS,W 26-15,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0,0,0,0.0,0,0
69,2016,2016-12-24,15,30.040,CAR,,ATL,L 16-33,,0,0,,0,0,0,,0,0,,,0,0,,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
70,2016,2017-01-01,16,30.048,CAR,@,TAM,L 16-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
71,2017,2017-09-10,1,30.300,BUF,,NYJ,W 21-12,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
72,2017,2017-09-17,2,30.307,BUF,@,CAR,L 3-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
73,2017,2017-09-24,3,30.314,BUF,,DEN,W 26-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
74,2017,2017-10-01,4,30.321,BUF,@,ATL,W 23-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
75,2017,2017-10-08,5,30.328,BUF,@,CIN,L 16-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
76,2017,2017-10-22,6,30.342,BUF,,TAM,W 30-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
77,2017,2017-10-29,7,30.349,BUF,,OAK,W 34-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
78,2017,2017-11-02,8,30.353,BUF,@,NYJ,L 21-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
79,2017,2017-11-12,9,30.363,BUF,,NOR,L 10-47,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
80,2017,2017-11-19,10,31.005,BUF,@,LAC,L 24-54,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
81,2017,2017-11-26,11,31.012,BUF,@,KAN,W 16-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
82,2017,2017-12-03,12,31.019,BUF,,NWE,L 3-23,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,27,9.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
83,2017,2017-12-10,13,31.026,BUF,,IND,W 13-7,,2,6,33.33,35,0,1,14.6,0,0,5.83,-1.67,5,27,5.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
84,2017,2017-12-17,14,31.033,BUF,,MIA,W 24-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
85,2017,2017-12-24,15,31.040,BUF,@,NWE,L 16-37,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
86,2017,2017-12-31,16,31.047,BUF,@,MIA,W 22-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
87,2018,2018-09-09,1,31.299,HOU,@,NWE,L 20-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
88,2018,2018-09-16,2,31.306,HOU,@,TEN,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
89,2018,2018-09-23,3,31.313,HOU,,NYG,L 22-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
