ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
52,1962,1962-12-08,13,26.145,WAS,@,BAL,L 21-34,4,56,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
53,1962,1962-12-16,14,26.153,WAS,,PIT,L 24-27,4,74,18.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,4,126,31.50,0
54,1963,1963-09-29,3,27.075,WAS,,DAL,W 21-17,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
55,1963,1963-10-06,4,27.082,WAS,,NYG,L 14-24,3,44,14.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
56,1963,1963-10-13,5,27.089,WAS,,PHI,L 24-37,2,40,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
57,1963,1963-10-20,6,27.096,WAS,@,PIT,L 27-38,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
58,1963,1963-11-17,10,27.124,WAS,,PIT,L 28-34,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
59,1963,1963-12-01,12,27.138,WAS,,BAL,L 20-36,2,54,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
60,1963,1963-12-08,13,27.145,WAS,@,NYG,L 14-44,1,49,49.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
61,1963,1963-12-15,14,27.152,WAS,,CLE,L 20-27,2,46,23.00,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,0,0,,0
62,1965,1965-10-31,7,29.107,GNB,@,CHI,L 10-31,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
63,1965,1965-11-07,8,29.114,GNB,,DET,L 7-12,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
64,1965,1965-11-28,11,29.135,GNB,@,RAM,L 10-21,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
65,1965,1965-12-05,12,29.142,GNB,,MIN,W 24-19,1,27,27.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
66,1965,1965-12-19,14,29.156,GNB,@,SFO,T 24-24,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
67,1966,1966-09-18,2,30.064,GNB,@,CLE,W 21-20,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
68,1966,1966-10-02,4,30.078,GNB,,DET,W 23-14,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
