ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
40,2004,2004-11-07,8,25.078,STL,,NWE,L 22-40,,,,,
41,2004,2004-11-14,9,25.085,STL,,SEA,W 23-12,,,,,
42,2004,2004-11-21,10,25.092,STL,@,BUF,L 17-37,,,,,
43,2004,2004-11-29,11,25.100,STL,@,GNB,L 17-45,,,,,
44,2004,2004-12-05,12,25.106,STL,,SFO,W 16-6,,,,,
45,2004,2004-12-12,13,25.113,STL,@,CAR,L 7-20,,,,,
46,2004,2004-12-19,14,25.120,STL,@,ARI,L 7-31,,,,,
47,2004,2004-12-27,15,25.128,STL,,PHI,W 20-7,,,,,
48,2004,2005-01-02,16,25.134,STL,,NYJ,W 32-29,,,,,
49,2005,2005-09-11,1,26.021,STL,@,SFO,L 25-28,,0,0,,0
50,2005,2005-09-18,2,26.028,STL,@,ARI,W 17-12,,0,0,,0
51,2005,2005-09-25,3,26.035,STL,,TEN,W 31-27,,0,0,,0
52,2005,2005-10-02,4,26.042,STL,@,NYG,L 24-44,,0,0,,0
53,2005,2005-10-09,5,26.049,STL,,SEA,L 31-37,,0,0,,0
54,2005,2005-10-17,6,26.057,STL,@,IND,L 28-45,,0,0,,0
55,2005,2005-10-23,7,26.063,STL,,NOR,W 28-17,,0,0,,0
56,2005,2005-10-30,8,26.070,STL,,JAX,W 24-21,,0,0,,0
57,2005,2005-11-13,9,26.084,STL,@,SEA,L 16-31,,0,0,,0
58,2005,2005-11-20,10,26.091,STL,,ARI,L 28-38,,0,0,,0
59,2005,2005-11-27,11,26.098,STL,@,HOU,W 33-27,,0,0,,0
60,2005,2005-12-04,12,26.105,STL,,WAS,L 9-24,,0,0,,0
61,2005,2005-12-11,13,26.112,STL,@,MIN,L 13-27,,0,0,,0
62,2005,2005-12-18,14,26.119,STL,,PHI,L 16-17,,0,0,,0
63,2005,2005-12-24,15,26.125,STL,,SFO,L 20-24,,0,0,,0
64,2005,2006-01-01,16,26.133,STL,@,DAL,W 20-10,,0,0,,0
65,2006,2006-09-10,1,27.020,STL,,DEN,W 18-10,,0,0,,0
66,2006,2006-09-17,2,27.027,STL,@,SFO,L 13-20,,0,0,,0
67,2006,2006-09-24,3,27.034,STL,@,ARI,W 16-14,,0,0,,0
68,2006,2006-10-01,4,27.041,STL,,DET,W 41-34,,0,0,,0
69,2006,2006-10-08,5,27.048,STL,@,GNB,W 23-20,,0,0,,0
70,2006,2006-10-15,6,27.055,STL,,SEA,L 28-30,,0,0,,0
71,2006,2006-10-29,7,27.069,STL,@,SDG,L 24-38,,0,0,,0
72,2006,2006-11-05,8,27.076,STL,,KAN,L 17-31,,0,0,,0
73,2006,2006-11-12,9,27.083,STL,@,SEA,L 22-24,,0,0,,0
74,2006,2006-11-19,10,27.090,STL,@,CAR,L 0-15,,0,0,,0
75,2006,2006-11-26,11,27.097,STL,,SFO,W 20-17,,0,0,,0
76,2006,2006-12-03,12,27.104,STL,,ARI,L 20-34,,0,0,,0
77,2006,2006-12-11,13,27.112,STL,,CHI,L 27-42,,0,0,,0
78,2006,2006-12-17,14,27.118,STL,@,OAK,W 20-0,,0,0,,0
79,2006,2006-12-24,15,27.125,STL,,WAS,W 37-31,,0,0,,0
80,2006,2006-12-31,16,27.132,STL,@,MIN,W 41-21,,0,0,,0
81,2007,2007-09-09,1,28.019,STL,,CAR,L 13-27,,0,0,,0
82,2007,2007-09-16,2,28.026,STL,,SFO,L 16-17,,0,0,,0
83,2007,2007-09-23,3,28.033,STL,@,TAM,L 3-24,,0,0,,0
84,2007,2007-09-30,4,28.040,STL,@,DAL,L 7-35,,0,0,,0
85,2007,2007-10-07,5,28.047,STL,,ARI,L 31-34,,0,0,,0
86,2007,2007-10-14,6,28.054,STL,@,BAL,L 3-22,,0,0,,0
87,2007,2007-10-21,7,28.061,STL,@,SEA,L 6-33,,0,0,,0
88,2007,2007-10-28,8,28.068,STL,,CLE,L 20-27,,0,0,,0
89,2007,2007-11-11,9,28.082,STL,@,NOR,W 37-29,,0,0,,0
90,2007,2007-11-18,10,28.089,STL,@,SFO,W 13-9,,0,0,,0
91,2007,2007-11-25,11,28.096,STL,,SEA,L 19-24,,0,0,,0
92,2007,2007-12-02,12,28.103,STL,,ATL,W 28-16,,0,0,,0
93,2007,2007-12-09,13,28.110,STL,@,CIN,L 10-19,,0,0,,0
94,2007,2007-12-16,14,28.117,STL,,GNB,L 14-33,,0,0,,0
95,2007,2007-12-20,15,28.121,STL,,PIT,L 24-41,,0,0,,0
96,2007,2007-12-30,16,28.131,STL,@,ARI,L 19-48,,0,0,,0
97,2008,2008-09-07,1,29.017,STL,@,PHI,L 3-38,,0,0,,0
98,2008,2008-09-14,2,29.024,STL,,NYG,L 13-41,,0,0,,0
99,2008,2008-09-21,3,29.031,STL,@,SEA,L 13-37,,,,,
100,2008,2008-09-28,4,29.038,STL,,BUF,L 14-31,,,,,
101,2008,2008-10-12,5,29.052,STL,@,WAS,W 19-17,,0,0,,0
102,2008,2008-10-19,6,29.059,STL,,DAL,W 34-14,,,,,
103,2008,2008-10-26,7,29.066,STL,@,NWE,L 16-23,,,,,
104,2008,2008-11-02,8,29.073,STL,,ARI,L 13-34,,,,,
105,2008,2008-11-09,9,29.080,STL,@,NYJ,L 3-47,,,,,
106,2008,2008-11-16,10,29.087,STL,@,SFO,L 16-35,,,,,
107,2008,2008-11-23,11,29.094,STL,,CHI,L 3-27,,,,,
108,2008,2008-11-30,12,29.101,STL,,MIA,L 12-16,,,,,
109,2008,2008-12-07,13,29.108,STL,@,ARI,L 10-34,,0,0,,0
110,2008,2008-12-14,14,29.115,STL,,SEA,L 20-23,,,,,
111,2008,2008-12-21,15,29.122,STL,,SFO,L 16-17,,,,,
112,2008,2008-12-28,16,29.129,STL,@,ATL,L 27-31,,,,,
113,2009,2009-09-13,1,30.023,STL,@,SEA,L 0-28,,,,,
114,2009,2009-09-20,2,30.030,STL,@,WAS,L 7-9,,,,,
115,2009,2009-09-27,3,30.037,STL,,GNB,L 17-36,,,,,
116,2009,2009-10-04,4,30.044,STL,@,SFO,L 0-35,,,,,
117,2009,2009-10-11,5,30.051,STL,,MIN,L 10-38,,,,,
118,2009,2009-10-18,6,30.058,STL,@,JAX,L 20-23,,,,,
119,2009,2009-10-25,7,30.065,STL,,IND,L 6-42,,,,,
120,2010,2010-09-12,1,31.022,STL,,ARI,L 13-17,,,,,
121,2010,2010-09-19,2,31.029,STL,@,OAK,L 14-16,,,,,
122,2010,2010-09-26,3,31.036,STL,,WAS,W 30-16,,,,,
123,2010,2010-10-03,4,31.043,STL,,SEA,W 20-3,,0,0,,0
124,2010,2010-10-10,5,31.050,STL,@,DET,L 6-44,,,,,
125,2010,2010-10-17,6,31.057,STL,,SDG,W 20-17,,,,,
126,2010,2010-10-24,7,31.064,STL,@,TAM,L 17-18,,,,,
127,2010,2010-10-31,8,31.071,STL,,CAR,W 20-10,,,,,
128,2010,2010-11-14,9,31.085,STL,@,SFO,L 20-23,,,,,
129,2010,2010-11-21,10,31.092,STL,,ATL,L 17-34,,,,,
130,2010,2010-11-28,11,31.099,STL,@,DEN,W 36-33,,,,,
131,2010,2010-12-05,12,31.106,STL,@,ARI,W 19-6,,,,,
132,2010,2010-12-12,13,31.113,STL,@,NOR,L 13-31,,,,,
133,2010,2010-12-19,14,31.120,STL,,KAN,L 13-27,,0,0,,0
134,2010,2010-12-26,15,31.127,STL,,SFO,W 25-17,,,,,
135,2010,2011-01-02,16,31.134,STL,@,SEA,L 6-16,,,,,
136,2011,2011-11-27,11,32.098,CHI,@,OAK,L 20-25,,,,,
137,2011,2011-12-04,12,32.105,CHI,,KAN,L 3-10,,,,,
138,2011,2011-12-11,13,32.112,CHI,@,DEN,L 10-13,,0,0,,0
139,2011,2011-12-18,14,32.119,CHI,,SEA,L 14-38,,,,,
140,2011,2011-12-25,15,32.126,CHI,@,GNB,L 21-35,,,,,
141,2011,2012-01-01,16,32.133,CHI,@,MIN,W 17-13,,,,,
