ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
43,1978,1978-11-05,10,25.213,SDG,,CIN,W 22-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,266,38.00,0
44,1978,1978-11-12,11,25.220,SDG,,KAN,W 29-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,156,39.00,0
45,1978,1978-11-19,12,25.227,SDG,@,MIN,W 13-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,241,34.43,0
46,1978,1978-11-26,13,25.234,SDG,@,KAN,L 0-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,165,33.00,0
47,1978,1978-12-04,14,25.242,SDG,,CHI,W 40-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,133,33.25,0
48,1978,1978-12-10,15,25.248,SDG,,SEA,W 37-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,181,45.25,0
49,1978,1978-12-17,16,25.255,SDG,@,HOU,W 45-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,148,37.00,0
50,1979,1979-09-02,1,26.149,SDG,@,SEA,W 33-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,140,35.00,0
51,1979,1979-09-09,2,26.156,SDG,,OAK,W 30-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,150,30.00,0
52,1979,1979-09-16,3,26.163,SDG,,BUF,W 27-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,247,41.17,0
53,1979,1979-09-23,4,26.170,SDG,@,NWE,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,247,35.29,0
54,1979,1979-09-30,5,26.177,SDG,,SFO,W 31-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,146,48.67,0
55,1979,1979-10-07,6,26.184,SDG,@,DEN,L 0-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,169,42.25,0
56,1979,1979-10-14,7,26.191,SDG,,SEA,W 20-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,159,39.75,0
57,1979,1979-10-21,8,26.198,SDG,@,RAM,W 40-16,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,159,31.80,0
58,1979,1979-10-25,9,26.202,SDG,@,OAK,L 22-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,207,34.50,0
59,1979,1979-11-04,10,26.212,SDG,@,KAN,W 20-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,141,35.25,0
60,1979,1979-11-11,11,26.219,SDG,@,CIN,W 26-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,164,41.00,0
61,1979,1979-11-18,12,26.226,SDG,,PIT,W 35-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,241,34.43,0
62,1979,1979-11-25,13,26.233,SDG,,KAN,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,107,35.67,0
63,1979,1979-12-02,14,26.240,SDG,,ATL,L 26-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,144,28.80,0
64,1979,1979-12-09,15,26.247,SDG,@,NOR,W 35-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,153,38.25,0
65,1979,1979-12-17,16,26.255,SDG,,DEN,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,162,40.50,0
66,1981,1981-09-06,1,28.153,SEA,@,CIN,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,6,238,39.67,0
67,1981,1981-09-13,2,28.160,SEA,,DEN,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,5,185,37.00,0
68,1981,1981-09-20,3,28.167,SEA,@,OAK,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,6,223,37.17,0
69,1981,1981-09-27,4,28.174,SEA,,KAN,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,3,118,39.33,0
70,1981,1981-10-04,5,28.181,SEA,@,SDG,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,6,268,44.67,0
71,1981,1981-10-11,6,28.188,SEA,@,HOU,L 17-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,3,86,28.67,0
72,1981,1981-10-18,7,28.195,SEA,,NYG,L 0-32,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,6,246,41.00,0
73,1981,1981-10-25,8,28.202,SEA,@,NYJ,W 19-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,4,182,45.50,0
74,1981,1981-11-01,9,28.209,SEA,@,GNB,L 24-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,7,271,38.71,0
75,1981,1981-11-08,10,28.216,SEA,,PIT,W 24-21,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,,,,4,153,38.25,0
76,1981,1981-11-16,11,28.224,SEA,,SDG,W 44-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,2,82,41.00,0
77,1981,1981-11-22,12,28.230,SEA,@,KAN,L 13-40,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,2,74,37.00,0
78,1981,1981-11-29,13,28.237,SEA,,OAK,L 31-32,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,,0,,,,4,147,36.75,0
79,1981,1981-12-06,14,28.244,SEA,,NYJ,W 27-23,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,166,41.50,0
80,1981,1981-12-13,15,28.251,SEA,@,DEN,L 13-23,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,,,,4,139,34.75,0
81,1982,1982-09-12,1,29.159,SEA,,CLE,L 7-21,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,183,36.60,0
82,1982,1982-09-19,2,29.166,SEA,@,HOU,L 21-23,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8,329,41.13,0
83,1982,1982-11-21,3,29.229,SEA,@,DEN,W 17-10,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4,167,41.75,0
84,1982,1982-11-28,4,29.236,SEA,,PIT,W 16-0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,179,35.80,0
85,1982,1982-12-05,5,29.243,SEA,@,RAI,L 23-28,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8,262,32.75,0
86,1982,1982-12-12,6,29.250,SEA,,CHI,W 20-14,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,189,37.80,0
87,1982,1982-12-19,7,29.257,SEA,,NWE,L 0-16,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,3,130,43.33,0
88,1982,1982-12-26,8,29.264,SEA,@,CIN,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,193,38.60,0
89,1982,1983-01-02,9,29.271,SEA,,DEN,W 13-11,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,203,40.60,0
90,1983,1983-09-04,1,30.151,SEA,@,KAN,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8,305,38.13,0
91,1983,1983-09-11,2,30.158,SEA,@,NYJ,W 17-10,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,219,43.80,0
92,1983,1983-09-18,3,30.165,SEA,,SDG,W 34-31,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,70,35.00,0
93,1983,1983-09-25,4,30.172,SEA,,WAS,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,82,41.00,0
94,1983,1983-10-02,5,30.179,SEA,@,CLE,W 24-9,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6,237,39.50,0
95,1983,1983-10-09,6,30.186,SEA,@,SDG,L 21-28,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,212,42.40,0
96,1983,1983-10-16,7,30.193,SEA,,RAI,W 38-36,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6,225,37.50,0
97,1983,1983-10-23,8,30.200,SEA,,PIT,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,216,43.20,0
98,1983,1983-10-30,9,30.207,SEA,@,RAI,W 34-21,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4,171,42.75,0
99,1983,1983-11-06,10,30.214,SEA,,DEN,W 27-19,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,3,121,40.33,0
100,1983,1983-11-13,11,30.221,SEA,@,STL,L 28-33,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7,278,39.71,0
101,1983,1983-11-20,12,30.228,SEA,@,DEN,L 27-38,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,21,21.00,0
102,1983,1983-11-27,13,30.235,SEA,,KAN,W 51-48,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,87,43.50,0
103,1983,1983-12-04,14,30.242,SEA,,DAL,L 10-35,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8,316,39.50,0
104,1983,1983-12-11,15,30.249,SEA,@,NYG,W 17-12,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,9,311,34.56,0
105,1983,1983-12-18,16,30.256,SEA,,NWE,W 24-6,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6,247,41.17,0
106,1984,1984-09-03,1,31.150,SEA,,CLE,W 33-0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4,143,35.75,0
107,1984,1984-09-09,2,31.156,SEA,,SDG,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8,319,39.88,0
108,1984,1984-09-16,3,31.163,SEA,@,NWE,L 23-38,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,9,347,38.56,0
109,1984,1984-09-23,4,31.170,SEA,,CHI,W 38-9,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,9,365,40.56,0
110,1984,1984-09-30,5,31.177,SEA,@,MIN,W 20-12,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4,148,37.00,0
111,1984,1984-10-07,6,31.184,SEA,@,RAI,L 14-28,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,10,376,37.60,0
112,1984,1984-10-14,7,31.191,SEA,,BUF,W 31-28,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6,234,39.00,0
113,1984,1984-10-21,8,31.198,SEA,@,GNB,W 30-24,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,80,40.00,0
114,1984,1984-10-29,9,31.206,SEA,@,SDG,W 24-0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,188,37.60,0
115,1984,1984-11-04,10,31.212,SEA,,KAN,W 45-0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,186,37.20,0
116,1984,1984-11-12,11,31.220,SEA,,RAI,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,10,416,41.60,0
117,1984,1984-11-18,12,31.226,SEA,@,CIN,W 26-6,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,150,30.00,0
118,1984,1984-11-25,13,31.233,SEA,@,DEN,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6,198,33.00,0
119,1984,1984-12-02,14,31.240,SEA,,DET,W 38-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,3,101,33.67,0
120,1984,1984-12-09,15,31.247,SEA,@,KAN,L 7-34,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,167,33.40,0
121,1984,1984-12-15,16,31.253,SEA,,DEN,L 14-31,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4,149,37.25,0
122,1985,1985-09-08,1,32.155,SEA,@,CIN,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,190,38.00,0
123,1985,1985-09-15,2,32.162,SEA,@,SDG,W 49-35,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6,230,38.33,0
