ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
32,1999,1999-12-27,15,24.116,MIA,,NYJ,L 31-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,0.00,0
33,1999,2000-01-02,16,24.122,MIA,@,WAS,L 10-21,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,13,6.50,0
34,2000,2000-09-10,2,25.008,SDG,,NOR,L 27-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,32,16.00,0
35,2000,2000-09-17,3,25.015,SDG,@,KAN,L 10-42,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,31,7.75,0
36,2000,2000-09-24,4,25.022,SDG,,SEA,L 12-20,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,,0,3,9,3.00,0
37,2000,2000-10-01,5,25.029,SDG,@,STL,L 31-57,,,,,,,0.0%,,,,,,,,,,,,,
38,2000,2000-10-08,6,25.036,SDG,,DEN,L 7-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,10,3.33,0
39,2000,2000-10-15,7,25.043,SDG,@,BUF,L 24-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,6,51,8.50,0
40,2000,2000-11-05,9,25.064,SDG,@,SEA,L 15-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,1,1.00,0
41,2000,2000-11-19,11,25.078,SDG,@,DEN,L 37-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,10,10.00,0
42,2000,2000-11-26,12,25.085,SDG,,KAN,W 17-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,6,50,8.33,0
43,2000,2000-12-03,13,25.092,SDG,,SFO,L 17-45,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,7,3.50,0
44,2000,2000-12-10,14,25.099,SDG,@,BAL,L 3-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,10,5.00,0
45,2000,2000-12-24,16,25.113,MIN,@,IND,L 10-31,,,,,,,0.0%,,,,,,,,,,,,,
46,2001,2001-09-09,1,26.007,MIN,,CAR,L 13-24,,0,0,0,,0,0.0%,,0,0,,0,5,93,18.60,0,5,37,7.40,0
47,2001,2001-10-28,7,26.056,MIN,@,TAM,L 14-41,,0,0,0,,0,0.0%,,0,0,,0,4,68,17.00,0,1,22,22.00,0
48,2001,2001-11-11,8,26.070,MIN,@,PHI,L 17-48,,0,0,0,,0,0.0%,,0,0,,0,9,237,26.33,0,0,0,,0
49,2001,2001-11-19,9,26.078,MIN,,NYG,W 28-16,,0,0,0,,0,0.0%,,0,0,,0,5,107,21.40,0,2,14,7.00,0
50,2001,2001-11-25,10,26.084,MIN,,CHI,L 6-13,,0,0,0,,0,0.0%,,0,0,,0,4,82,20.50,0,7,39,5.57,0
51,2001,2001-12-02,11,26.091,MIN,@,PIT,L 16-21,,0,0,0,,0,0.0%,,0,0,,0,4,93,23.25,0,1,9,9.00,0
52,2001,2001-12-09,12,26.098,MIN,,TEN,W 42-24,,0,0,0,,0,0.0%,,0,0,,0,4,90,22.50,0,0,0,,0
53,2001,2001-12-16,13,26.105,MIN,@,DET,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,2,73,36.50,0,6,41,6.83,0
54,2001,2001-12-23,14,26.112,MIN,,JAX,L 3-33,,0,0,0,,0,0.0%,,0,0,,0,8,155,19.38,0,1,1,1.00,0
55,2001,2002-01-07,16,26.127,MIN,@,BAL,L 3-19,,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,6,56,9.33,0
