ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
23,1953,1953-11-15,8,25.029,PHI,,BAL,W 45-14,7,110,15.71,0,0,0,,0,,,,,,,0,
24,1953,1953-11-21,9,25.035,PHI,,CRD,W 38-0,2,60,30.00,0,0,0,,0,,,,,,,0,
25,1953,1953-11-29,10,25.043,PHI,@,NYG,L 28-37,3,59,19.67,0,0,0,,0,,,,,,,0,
26,1953,1953-12-13,12,25.057,PHI,,CLE,W 42-27,2,27,13.50,1,0,0,,0,,,,,,,1,
27,1954,1954-09-26,1,25.344,PHI,,CLE,W 28-10,2,14,7.00,1,0,0,,0,,,,,,,1,
28,1954,1954-10-03,2,25.351,PHI,@,CRD,W 35-16,5,110,22.00,3,0,0,,0,,,,,,,3,
29,1954,1954-10-09,3,25.357,PHI,,PIT,W 24-22,4,66,16.50,1,0,0,,0,,,,,,,1,
30,1954,1954-10-17,4,26.000,PHI,@,WAS,W 49-21,6,90,15.00,3,0,0,,0,,,,,,,3,
31,1954,1954-10-23,5,26.006,PHI,@,PIT,L 7-17,2,35,17.50,0,0,0,,0,,,,,,,0,
32,1954,1954-11-14,8,26.028,PHI,@,NYG,L 14-27,1,30,30.00,1,0,0,,0,,,,,,,1,
33,1954,1954-11-21,9,26.035,PHI,@,CLE,L 0-6,3,44,14.67,0,0,0,,0,,,,,,,0,
34,1954,1954-11-28,10,26.042,PHI,,WAS,W 41-33,4,63,15.75,0,0,0,,0,,,,,,,0,
35,1954,1954-12-05,11,26.049,PHI,@,DET,T 13-13,2,87,43.50,1,0,0,,0,,,,,,,1,
36,1954,1954-12-12,12,26.056,PHI,,NYG,W 29-14,2,42,21.00,1,0,0,,0,,,,,,,1,
37,1955,1955-09-24,1,26.342,PHI,,NYG,W 27-17,3,60,20.00,0,0,0,,0,,,,,,,0,
38,1955,1955-10-01,2,26.349,PHI,,WAS,L 30-31,3,62,20.67,0,0,0,,0,,,,,,,0,
39,1955,1955-10-09,3,26.357,PHI,@,CLE,L 17-21,3,39,13.00,0,0,0,,0,,,,,,,0,
40,1955,1955-10-15,4,26.363,PHI,@,PIT,L 7-13,2,26,13.00,0,0,0,,0,,,,,,,0,
41,1955,1955-10-23,5,27.006,PHI,@,CRD,T 24-24,3,40,13.33,0,0,0,,0,,,,,,,0,
42,1955,1955-10-30,6,27.013,PHI,,PIT,W 24-0,1,15,15.00,0,0,0,,0,,,,,,,0,
43,1955,1955-11-06,7,27.020,PHI,@,WAS,L 21-34,6,91,15.17,1,0,0,,0,,,,,,,1,
44,1955,1955-11-13,8,27.027,PHI,,CLE,W 33-17,1,14,14.00,0,0,0,,0,,,,,,,0,
45,1955,1955-11-27,10,27.041,PHI,,RAM,L 21-23,2,76,38.00,2,0,0,,0,,,,,,,2,
46,1955,1955-12-04,11,27.048,PHI,,CRD,W 27-3,2,7,3.50,0,0,0,,0,,,,,,,0,
47,1955,1955-12-11,12,27.055,PHI,@,CHI,L 10-17,1,13,13.00,0,1,-3,-3.00,0,,,,,,,0,
48,1956,1956-09-30,1,27.349,PHI,@,RAM,L 7-27,5,115,23.00,0,0,0,,0,,,,,,,0,
49,1956,1956-10-06,2,27.355,PHI,,WAS,W 13-9,3,28,9.33,0,0,0,,0,,,,,,,0,
50,1956,1956-10-14,3,27.363,PHI,@,PIT,W 35-21,4,108,27.00,1,0,0,,0,,,,,,,1,
51,1956,1956-10-21,4,28.004,PHI,,CRD,L 6-20,4,38,9.50,0,0,0,,0,,,,,,,0,
52,1956,1956-10-28,5,28.011,PHI,@,NYG,L 3-20,3,28,9.33,0,0,0,,0,,,,,,,0,
53,1956,1956-11-04,6,28.018,PHI,@,CRD,L 17-28,2,23,11.50,0,0,0,,0,,,,,,,0,
54,1956,1956-11-11,7,28.025,PHI,,PIT,W 14-7,3,53,17.67,0,0,0,,0,,,,,,,0,
55,1956,1956-11-18,8,28.032,PHI,,CLE,L 0-16,1,11,11.00,0,0,0,,0,,,,,,,0,
56,1956,1956-11-25,9,28.039,PHI,,SFO,T 10-10,3,59,19.67,1,0,0,,0,,,,,,,1,
57,1956,1956-12-02,10,28.046,PHI,@,CLE,L 14-17,5,49,9.80,0,0,0,,0,,,,,,,0,
58,1956,1956-12-09,11,28.053,PHI,@,WAS,L 17-19,1,9,9.00,0,0,0,,0,,,,,,,0,
59,1956,1956-12-15,12,28.059,PHI,,NYG,L 7-21,5,69,13.80,1,0,0,,0,,,,,,,1,
60,1957,1957-10-13,3,28.361,PHI,@,CLE,L 7-24,1,6,6.00,0,0,0,,0,,,,,,,0,
61,1957,1957-11-03,6,29.017,PHI,@,CRD,W 38-21,2,57,28.50,1,1,7,7.00,0,,,,,,,1,
62,1957,1957-11-10,7,29.024,PHI,,DET,L 16-27,2,71,35.50,0,0,0,,0,,,,,,,0,
63,1957,1957-11-17,8,29.031,PHI,@,NYG,L 0-13,1,37,37.00,0,0,0,,0,,,,,,,0,
64,1957,1957-11-24,9,29.038,PHI,,WAS,W 21-12,2,61,30.50,0,0,0,,0,,,,,,,0,
65,1957,1957-12-08,11,29.052,PHI,@,WAS,L 7-42,2,28,14.00,0,0,0,,0,,,,,,,0,
66,1957,1957-12-14,12,29.058,PHI,,CRD,L 27-31,1,6,6.00,0,0,0,,0,,,,,,,0,
67,1958,1958-09-28,1,29.346,PHI,,WAS,L 14-24,1,9,9.00,0,0,0,,0,,,,,,,0,
68,1958,1958-10-05,2,29.353,PHI,,NYG,W 27-24,3,30,10.00,0,0,0,,0,,,,,,,0,
69,1958,1958-10-12,3,29.360,PHI,@,PIT,L 3-24,1,14,14.00,0,0,0,,0,,,,,,,0,
70,1958,1958-10-19,4,30.002,PHI,,SFO,L 24-30,6,74,12.33,1,0,0,,0,,,,,,,1,
71,1958,1958-11-02,6,30.016,PHI,@,CRD,T 21-21,3,46,15.33,0,0,0,,0,,,,,,,0,
72,1958,1958-11-09,7,30.023,PHI,,PIT,L 24-31,1,14,14.00,0,0,0,,0,,,,,,,0,
73,1958,1958-11-16,8,30.030,PHI,,CRD,W 49-21,1,71,71.00,1,0,0,,0,,,,,,,1,
74,1958,1958-11-30,10,30.044,PHI,@,NYG,L 10-24,5,40,8.00,1,0,0,,0,,,,,,,1,
75,1959,1959-09-27,1,30.345,PHI,@,SFO,L 14-24,2,24,12.00,1,0,0,,0,,,,,,,1,
76,1959,1959-10-04,2,30.352,PHI,,NYG,W 49-21,0,0,,0,1,7,7.00,0,,,,,,,0,
77,1959,1959-10-11,3,30.359,PHI,,PIT,W 28-24,2,25,12.50,0,1,1,1.00,0,,,,,,,0,
78,1959,1959-10-18,4,31.001,PHI,@,NYG,L 7-24,1,18,18.00,0,0,0,,0,,,,,,,0,
79,1959,1959-11-01,6,31.015,PHI,,WAS,W 30-23,1,22,22.00,1,0,0,,0,,,,,,,1,
80,1959,1959-11-08,7,31.022,PHI,@,CLE,L 7-28,2,17,8.50,0,0,0,,0,,,,,,,0,
81,1959,1959-11-22,9,31.036,PHI,,RAM,W 23-20,3,92,30.67,0,0,0,,0,,,,,,,0,
82,1959,1959-11-29,10,31.043,PHI,@,PIT,L 0-31,1,13,13.00,0,0,0,,0,,,,,,,0,
83,1959,1959-12-06,11,31.050,PHI,@,WAS,W 34-14,1,24,24.00,0,0,0,,0,,,,,,,0,
84,1959,1959-12-13,12,31.057,PHI,,CLE,L 21-28,3,44,14.67,1,0,0,,0,,,,,,,1,
85,1960,1960-09-25,1,31.344,PHI,,CLE,L 24-41,4,75,18.75,1,0,0,,0,3,3,100.0,1,2,50.0,1,12
86,1960,1960-09-30,2,31.349,PHI,@,DAL,W 27-25,1,15,15.00,0,0,0,,0,3,3,100.0,2,2,100.0,0,9
87,1960,1960-10-09,3,31.358,PHI,,STL,W 31-27,1,9,9.00,0,0,0,,0,4,4,100.0,1,3,33.3,0,7
88,1960,1960-10-16,4,31.365,PHI,,DET,W 28-10,2,58,29.00,1,0,0,,0,4,4,100.0,,,,1,10
89,1960,1960-10-23,5,32.006,PHI,@,CLE,W 31-29,4,94,23.50,1,0,0,,0,4,4,100.0,1,2,50.0,1,13
90,1960,1960-11-06,6,32.020,PHI,,PIT,W 34-7,3,55,18.33,0,0,0,,0,4,4,100.0,2,3,66.7,0,10
91,1960,1960-11-13,7,32.027,PHI,,WAS,W 19-13,2,72,36.00,1,0,0,,0,1,2,50.0,2,2,100.0,1,13
92,1960,1960-11-20,8,32.034,PHI,@,NYG,W 17-10,6,119,19.83,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
93,1960,1960-11-27,9,32.041,PHI,,NYG,W 31-23,2,11,5.50,0,0,0,,0,4,4,100.0,1,1,100.0,0,7
94,1960,1960-12-04,10,32.048,PHI,@,STL,W 20-6,1,4,4.00,0,0,0,,0,2,2,100.0,2,2,100.0,0,8
95,1960,1960-12-11,11,32.055,PHI,@,PIT,L 21-27,3,40,13.33,0,0,0,,0,3,3,100.0,,,,0,3
96,1960,1960-12-18,12,32.062,PHI,@,WAS,W 38-28,1,11,11.00,0,0,0,,0,5,5,100.0,1,1,100.0,0,8
97,1961,1961-09-17,1,32.335,PHI,,CLE,W 27-20,1,18,18.00,1,0,0,,0,3,3,100.0,2,3,66.7,1,15
98,1961,1961-09-24,2,32.342,PHI,,WAS,W 14-7,1,14,14.00,0,0,0,,0,2,2,100.0,,,,0,2
99,1961,1961-10-01,3,32.349,PHI,,STL,L 27-30,2,127,63.50,0,0,0,,0,3,3,100.0,2,3,66.7,0,9
100,1961,1961-10-08,4,32.356,PHI,,PIT,W 21-16,3,42,14.00,0,0,0,,0,3,3,100.0,,,,0,3
101,1961,1961-10-15,5,32.363,PHI,@,STL,W 20-7,3,33,11.00,0,0,0,,0,2,2,100.0,2,2,100.0,0,8
102,1961,1961-10-22,6,33.005,PHI,@,DAL,W 43-7,3,62,20.67,0,0,0,,0,4,6,66.7,1,2,50.0,0,7
103,1961,1961-10-29,7,33.012,PHI,@,WAS,W 27-24,4,53,13.25,0,0,0,,0,3,3,100.0,2,3,66.7,0,9
104,1961,1961-11-05,8,33.019,PHI,,CHI,W 16-14,4,40,10.00,0,0,0,,0,1,2,50.0,1,3,33.3,0,4
105,1961,1961-11-12,9,33.026,PHI,@,NYG,L 21-38,2,28,14.00,0,0,0,,0,3,3,100.0,,2,0.0,0,3
106,1961,1961-11-19,10,33.033,PHI,@,CLE,L 24-45,4,43,10.75,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
107,1961,1961-11-26,11,33.040,PHI,,DAL,W 35-13,2,46,23.00,0,0,0,,0,5,5,100.0,,,,0,5
108,1961,1961-12-03,12,33.047,PHI,@,PIT,W 35-24,2,35,17.50,1,0,0,,0,5,5,100.0,,1,0.0,1,11
109,1961,1961-12-10,13,33.054,PHI,,NYG,L 24-28,2,14,7.00,0,0,0,,0,3,3,100.0,1,3,33.3,0,6
110,1961,1961-12-17,14,33.061,PHI,@,DET,W 27-24,1,14,14.00,0,0,0,,0,3,3,100.0,2,2,100.0,0,9
111,1962,1962-09-16,1,33.334,PHI,,STL,L 21-27,2,29,14.50,0,0,0,,0,3,3,100.0,,1,0.0,0,3
112,1962,1962-09-23,2,33.341,PHI,,NYG,L 13-29,0,0,,0,0,0,,0,1,1,100.0,2,5,40.0,0,7
113,1962,1962-09-30,3,33.348,PHI,,CLE,W 35-7,0,0,,0,0,0,,0,5,5,100.0,,,,0,5
114,1962,1962-10-06,4,33.354,PHI,@,PIT,L 7-13,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
115,1962,1962-10-14,5,33.362,PHI,@,DAL,L 19-41,0,0,,0,0,0,,0,1,2,50.0,2,2,100.0,0,7
116,1962,1962-10-21,6,34.004,PHI,,WAS,L 21-27,1,11,11.00,0,0,0,,0,3,3,100.0,,,,0,3
117,1962,1962-10-28,7,34.011,PHI,@,MIN,L 21-31,0,0,,0,0,0,,0,3,3,100.0,,2,0.0,0,3
118,1962,1962-11-04,8,34.018,PHI,@,CLE,T 14-14,0,0,,0,0,0,,0,2,2,100.0,,2,0.0,0,2
119,1962,1962-11-11,9,34.025,PHI,,GNB,L 0-49,1,3,3.00,0,0,0,,0,,,,,,,0,0
120,1962,1962-11-18,10,34.032,PHI,@,NYG,L 14-19,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
121,1962,1962-11-25,11,34.039,PHI,,DAL,W 28-14,0,0,,0,0,0,,0,4,4,100.0,,3,0.0,0,4
122,1962,1962-12-02,12,34.046,PHI,@,WAS,W 37-14,0,0,,0,0,0,,0,4,5,80.0,,,,0,4
123,1962,1962-12-09,13,34.053,PHI,,PIT,L 17-26,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
124,1962,1962-12-16,14,34.060,PHI,@,STL,L 35-45,0,0,,0,0,0,,0,5,5,100.0,,,,0,5
