ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
17,1986,1986-11-02,9,24.146,DAL,@,NYG,L 14-17,0,0,,0,0,0,,0,,,,
18,1986,1986-11-09,10,24.153,DAL,,RAI,L 13-17,0,0,,0,0,0,,0,,,,
19,1986,1986-11-16,11,24.160,DAL,@,SDG,W 24-21,0,0,,0,0,0,,0,,,,
20,1986,1986-11-23,12,24.167,DAL,@,WAS,L 14-41,0,0,,0,2,2,1.00,0,0,0,,0
21,1986,1986-11-27,13,24.171,DAL,,SEA,L 14-31,0,0,,0,0,0,,0,,,,
22,1986,1986-12-07,14,24.181,DAL,@,RAM,L 10-29,0,0,,0,0,0,,0,,,,
23,1986,1986-12-14,15,24.188,DAL,,PHI,L 21-23,0,0,,0,0,0,,0,,,,
24,1986,1986-12-21,16,24.195,DAL,,CHI,L 10-24,0,0,,0,0,0,,0,,,,
25,1987,1987-09-13,1,25.096,DAL,@,STL,L 13-24,1,6,6.00,0,0,0,,0,0,0,,0
26,1987,1987-09-20,2,25.103,DAL,@,NYG,W 16-14,0,0,,0,,,,,,,,
27,1987,1987-10-25,6,25.138,DAL,@,PHI,L 20-37,0,0,,0,,,,,,,,
28,1987,1987-11-02,7,25.146,DAL,,NYG,W 33-24,0,0,,0,,,,,,,,
29,1987,1987-11-08,8,25.152,DAL,@,DET,L 17-27,0,0,,0,,,,,,,,
30,1987,1987-11-15,9,25.159,DAL,@,NWE,W 23-17,0,0,,0,,,,,,,,
31,1987,1987-11-22,10,25.166,DAL,,MIA,L 14-20,0,0,,0,,,,,,,,
32,1987,1987-11-26,11,25.170,DAL,,MIN,L 38-44,0,0,,0,,,,,,,,
33,1987,1987-12-06,12,25.180,DAL,,ATL,L 10-21,0,0,,0,,,,,,,,
34,1987,1987-12-13,13,25.187,DAL,@,WAS,L 20-24,0,0,,0,,,,,,,,
35,1987,1987-12-21,14,25.195,DAL,@,RAM,W 29-21,0,0,,0,,,,,,,,
36,1987,1987-12-27,15,25.201,DAL,,STL,W 21-16,0,0,,0,,,,,,,,
37,1988,1988-09-04,1,26.087,DAL,@,PIT,L 21-24,0,0,,0,0,0,,0,,,,
38,1988,1988-09-12,2,26.095,DAL,@,PHO,W 17-14,0,0,,0,0,0,,0,,,,
39,1988,1988-09-18,3,26.101,DAL,,NYG,L 10-12,0,0,,0,0,0,,0,,,,
40,1988,1988-09-25,4,26.108,DAL,,ATL,W 26-20,0,0,,0,0,0,,0,,,,
41,1988,1988-10-03,5,26.116,DAL,@,NOR,L 17-20,0,0,,0,0,0,,0,,,,
42,1988,1988-10-09,6,26.122,DAL,,WAS,L 17-35,0,0,,0,0,0,,0,,,,
43,1988,1988-10-16,7,26.129,DAL,@,CHI,L 7-17,0,0,,0,0,0,,0,,,,
44,1988,1988-10-23,8,26.136,DAL,@,PHI,L 23-24,0,0,,0,0,0,,0,,,,
45,1988,1988-10-30,9,26.143,DAL,,PHO,L 10-16,0,0,,0,0,0,,0,,,,
46,1988,1988-11-06,10,26.150,DAL,@,NYG,L 21-29,2,18,9.00,0,0,0,,0,0,0,,0
47,1988,1988-11-13,11,26.157,DAL,,MIN,L 3-43,2,14,7.00,0,0,0,,0,0,0,,0
48,1988,1988-11-20,12,26.164,DAL,,CIN,L 24-38,4,17,4.25,0,1,4,4.00,0,0,0,,0
49,1988,1988-11-24,13,26.168,DAL,,HOU,L 17-25,1,3,3.00,0,1,0,0.00,0,0,0,,0
50,1988,1988-12-04,14,26.178,DAL,@,CLE,L 21-24,1,12,12.00,0,0,0,,0,0,0,,0
51,1988,1988-12-11,15,26.185,DAL,@,WAS,W 24-17,0,0,,0,1,2,2.00,0,0,0,,0
52,1988,1988-12-18,16,26.192,DAL,,PHI,L 7-23,0,0,,0,0,0,,0,,,,
