ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
11,1969,1969-12-07,12,22.292,PHI,,WAS,L 29-34,11,17,1.55,1,3,33,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0
12,1969,1969-12-14,13,22.299,PHI,,ATL,L 3-27,13,55,4.23,0,3,17,5.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
13,1969,1969-12-21,14,22.306,PHI,@,SFO,L 13-14,10,24,2.40,0,1,35,35.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
14,1970,1970-11-29,11,23.284,PHI,@,STL,L 14-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1970,1970-12-06,12,23.291,PHI,@,BAL,L 10-29,2,7,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
16,1970,1970-12-20,14,23.305,PHI,,PIT,W 30-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1971,1971-09-19,1,24.213,PHI,@,CIN,L 14-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1971,1971-09-26,2,24.220,PHI,,DAL,L 7-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,17,0
19,1971,1971-10-03,3,24.227,PHI,,SFO,L 3-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1971,1971-10-10,4,24.234,PHI,,MIN,L 0-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1971,1971-10-17,5,24.241,PHI,@,OAK,L 10-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1971,1971-10-24,6,24.248,PHI,,NYG,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
23,1971,1971-10-31,7,24.255,PHI,,DEN,W 17-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1971,1971-11-07,8,24.262,PHI,@,WAS,T 7-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1971,1971-11-14,9,24.269,PHI,@,DAL,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1971,1971-11-21,10,24.276,PHI,@,STL,W 37-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,10,0
27,1971,1971-11-28,11,24.283,PHI,,WAS,L 13-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1971,1971-12-05,12,24.290,PHI,@,DET,W 23-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1971,1971-12-12,13,24.297,PHI,,STL,W 19-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,0,0
30,1971,1971-12-19,14,24.304,PHI,@,NYG,W 41-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,4,0
31,1972,1972-09-17,1,25.212,PHI,@,DAL,L 6-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1972,1972-09-24,2,25.219,PHI,,CLE,L 17-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1972,1972-10-02,3,25.227,PHI,,NYG,L 12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1972,1972-10-08,4,25.233,PHI,@,WAS,L 0-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1972,1972-10-15,5,25.240,PHI,,RAM,L 3-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1972,1972-10-22,6,25.247,PHI,@,KAN,W 21-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1972,1972-10-29,7,25.254,PHI,@,NOR,L 3-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
38,1972,1972-11-05,8,25.261,PHI,,STL,T 6-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1972,1972-11-12,9,25.268,PHI,@,HOU,W 18-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1972,1972-11-19,10,25.275,PHI,,DAL,L 7-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1972,1972-11-26,11,25.282,PHI,@,NYG,L 10-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1972,1972-12-03,12,25.289,PHI,,WAS,L 7-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1972,1972-12-10,13,25.296,PHI,,CHI,L 12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1972,1972-12-17,14,25.303,PHI,@,STL,L 23-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
45,1973,1973-10-14,5,26.238,KAN,@,GNB,T 10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1973,1973-11-04,8,26.259,KAN,@,SDG,W 19-0,2,1,0.50,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,0
47,1973,1973-11-18,10,26.273,KAN,,HOU,W 38-14,0,0,,0,1,-6,-6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
