From,To,Weight
kenny_stills,___Partly Cloudy,97
kevin_white
laquon_treadwell
larry_fitzgerald
larry_fitzgerald,___Clear,81
larry_fitzgerald,___Clear,77
larry_fitzgerald,___Clear,81
larry_fitzgerald,___Clear,74
larry_fitzgerald,___Clear,132
larry_fitzgerald,___Clear,78
leonte_carroo
lucky_whitehead
malcolm_mitchell
malcolm_mitchell,___Light Rain,98
malcolm_mitchell,___Partly Cloudy,82
markus_wheaton
marqise_lee
marqise_lee,___Clear,84
marqise_lee,___Clear,113
marqise_lee,___Clear,86
marquess_wilson
marquess_wilson,___Foggy,125
marquise_goodwin
marquise_goodwin,___Partly Cloudy,93
marvin_jones
marvin_jones,___Partly Cloudy,85
marvin_jones,___Clear,118
marvin_jones,___Mostly Cloudy,205
marvin_jones,___Mostly Cloudy,74
marvin_jones,___Clear,94
marvin_jones,___Clear,76
michael_crabtree
michael_crabtree,___Partly Cloudy,87
michael_crabtree,___Clear,102
michael_crabtree,___Mostly Cloudy,88
michael_crabtree,___Clear,96
michael_crabtree,___Clear,108
michael_crabtree,___Clear,110
michael_crabtree,___Clear,74
michael_crabtree,___Clear,90
michael_floyd
michael_thomas
michael_thomas,___Clear,78
michael_thomas,___Clear,130
michael_thomas,___Partly Cloudy,73
michael_thomas,___Mostly Cloudy,98
michael_thomas,___Light Rain,156
mike_evans
mike_evans,___Clear,99
mike_evans,___Partly Cloudy,132
mike_evans,___Clear,89
mike_evans,___Clear,96
mike_evans,___Partly Cloudy,150
mike_evans,___Partly Cloudy,105
mike_evans,___Partly Cloudy,104
mike_evans,___Mostly Cloudy,97
mike_wallace
mike_wallace,___Partly Cloudy,91
mike_wallace,___Mostly Cloudy,97
mike_wallace,___Partly Cloudy,120
mike_wallace,___Mostly Cloudy,124
mohamed_sanu
mohamed_sanu,___Clear,80
mohamed_sanu,___Clear,84
mohamed_sanu,___Partly Cloudy,74
neal_sterling
nelson_agholor
niles_paul
odell_beckham
odell_beckham,___Clear,73
odell_beckham,___Partly Cloudy,86
odell_beckham,___Clear,121
odell_beckham,___Mostly Cloudy,222
odell_beckham,___Overcast,97
odell_beckham,___Clear,96
odell_beckham,___Partly Cloudy,100
odell_beckham,___Mostly Cloudy,94
odell_beckham,___Mostly Cloudy,150
paul_turner
paul_turner,___Mostly Cloudy,80
percy_harvin
pharoh_cooper
phillip_dorsett
pierre_garcon
pierre_garcon,___Clear,77
pierre_garcon,___Clear,81
pierre_garcon,___Partly Cloudy,116
pierre_garcon,___Clear,78
pierre_garcon,___Partly Cloudy,78
pierre_garcon,___Mostly Cloudy,94
pierre_garcon,___Clear,96
quincy_enunwa
quincy_enunwa,___Partly Cloudy,109
quincy_enunwa,___Clear,81
quinton_dunbar
quinton_patton
quinton_patton,___Partly Cloudy,106
randall_cobb
randall_cobb,___Clear,108
randall_cobb,___Mostly Cloudy,95
randall_cobb,___Partly Cloudy,84
ricardo_louis
rishard_matthews
rishard_matthews,___Clear,122
rishard_matthews,___Mostly Cloudy,114
robby_anderson
robby_anderson,___Mostly Cloudy,80
robert_woods
robert_woods,___Overcast,89
robert_woods,___Mostly Cloudy,162
rod_streater
roger_lewis
russell_shepard
ryan_grant
sammie_coates
sammie_coates,___Humid and Mostly Cloudy,97
sammie_coates,___Rain,79
sammie_coates,___Partly Cloudy,139
sammy_watkins
sammy_watkins,___Mostly Cloudy,80
sammy_watkins,___Overcast,154
seth_roberts
stefon_diggs
stefon_diggs,___Clear,103
stefon_diggs,___Mostly Cloudy,182
stefon_diggs,___Drizzle,76
stefon_diggs,___Clear,80
stefon_diggs,___Clear,164
sterling_shepard
sterling_shepard,___Partly Cloudy,117
sterling_shepard,___Clear,73
t.y._hilton
t.y._hilton,___Partly Cloudy,79
t.y._hilton,___Partly Cloudy,174
t.y._hilton,___Clear,171
t.y._hilton,___Clear,133
t.y._hilton,___Clear,82
t.y._hilton,___Clear,97
t.y._hilton,___Clear,146
t.y._hilton,___Mostly Cloudy,115
t.y._hilton,___Clear,105
t.y._hilton,___Clear,95
tajae_sharpe
tajae_sharpe,___Clear,76
tavon_austin
tavon_austin,___Partly Cloudy,82
taylor_gabriel
taylor_gabriel,___Clear,75
taylor_gabriel,___Mostly Cloudy,82
ted_ginn
ted_ginn,___Clear,115
terrance_williams
terrance_williams,___Humid and Mostly Cloudy,88
terrance_williams,___Clear,75
tommylee_lewis
tony_lippett
torrey_smith
torrey_smith,___Mostly Cloudy,76
travis_benjamin
travis_benjamin,___Clear,115
travis_benjamin,___Mostly Cloudy,75
tyler_boyd
tyler_lockett
tyler_lockett,___Clear,99
tyler_lockett,___Mostly Cloudy,130
tyreek_hill
tyrell_williams
tyrell_williams,___Clear,140
tyrell_williams,___Clear,125
victor_cruz
victor_cruz,___Partly Cloudy,91
vincent_jackson
walt_powell
willie_snead
willie_snead,___Clear,76
will_fuller
will_fuller,___Clear,107
will_fuller,___Partly Cloudy,104
will_fuller,___Clear,81
